Date,Status,Home,Score,Away,Attendance,Competition
Aug-03,FT,Middlesbrough,01-Feb,Leicester City,,Championship
Aug-06,FT,Middlesbrough,01-Feb,Accrington Stanley,"6,774",Capital One Cup (Round 1)
Aug-10,FT,Charlton Athletic,0-1,Middlesbrough,"14,882",Championship
Aug-17,FT,Middlesbrough,01-Jan,Blackpool,"13,993",Championship
Aug-25,FT,Wigan Athletic,02-Feb,Middlesbrough,"14,333",Championship
Aug-31,FT,Middlesbrough,01-Jan,Sheffield Wednesday,"15,964",Championship
Sep-14,FT,Ipswich Town,03-Jan,Middlesbrough,"15,276",Championship
Sep-17,FT,Nottingham Forest,02-Feb,Middlesbrough,"19,509",Championship
Sep-21,FT,Middlesbrough,03-Mar,AFC Bournemouth,"13,617",Championship
Sep-28,FT,Queens Park Rangers,2-0,Middlesbrough,"17,081",Championship
Oct-01,FT,Middlesbrough,01-Jan,Huddersfield Town,"12,793",Championship
Oct-05,FT,Middlesbrough,04-Jan,Yeovil Town,"13,181",Championship
Oct-19,FT,Barnsley,03-Feb,Middlesbrough,"11,438",Championship
Oct-25,FT,Middlesbrough,4-0,Doncaster Rovers,"21,882",Championship
Nov-02,FT,Blackburn Rovers,1-0,Middlesbrough,"16,645",Championship
Nov-09,FT,Middlesbrough,02-Feb,Watford,"14,344",Championship
Nov-23,FT,Leeds United,02-Jan,Middlesbrough,"30,367",Championship
Nov-30,FT,Middlesbrough,1-0,Bolton Wanderers,"23,679",Championship
Dec-04,FT,Derby County,02-Jan,Middlesbrough,"24,631",Championship
Dec-07,FT,Birmingham City,02-Feb,Middlesbrough,"13,454",Championship
Dec-14,FT,Middlesbrough,0-1,Brighton & Hove Albion,"13,635",Championship
Dec-21,FT,Millwall,0-2,Middlesbrough,"11,078",Championship
Dec-26,FT,Middlesbrough,1-0,Burnley,"20,689",Championship
Dec-29,FT,Middlesbrough,3-0,Reading,"16,001",Championship
Jan-01,FT,Bolton Wanderers,02-Feb,Middlesbrough,"17,410",Championship
Jan-04,FT,Middlesbrough,0-2,Hull City,"15,571",English FA Cup (Round 3)
Jan-11,FT,Blackpool,0-2,Middlesbrough,"14,421",Championship
Jan-18,FT,Middlesbrough,1-0,Charlton Athletic,"14,548",Championship
Jan-25,FT,Leicester City,2-0,Middlesbrough,"26,047",Championship
Jan-28,FT,Middlesbrough,0-0,Wigan Athletic,"13,258",Championship
Feb-01,FT,Doncaster Rovers,0-0,Middlesbrough,"11,440",Championship
Feb-08,FT,Middlesbrough,0-0,Blackburn Rovers,"14,965",Championship
Feb-15,FT,Watford,1-0,Middlesbrough,"15,391",Championship
Feb-22,FT,Middlesbrough,0-0,Leeds United,"20,424",Championship
Mar-01,FT,Sheffield Wednesday,1-0,Middlesbrough,"20,743",Championship
Mar-08,FT,Middlesbrough,2-0,Ipswich Town,"13,965",Championship
Mar-11,FT,Middlesbrough,01-Jan,Nottingham Forest,"14,134",Championship
Mar-15,FT,AFC Bournemouth,0-0,Middlesbrough,"9,710",Championship
Mar-22,FT,Middlesbrough,01-Feb,Queens Park Rangers,"15,075",Championship
Mar-25,FT,Huddersfield Town,02-Feb,Middlesbrough,"11,999",Championship
Mar-29,FT,Brighton & Hove Albion,0-1,Middlesbrough,"27,486",Championship
Apr-05,FT,Middlesbrough,1-0,Derby County,"15,234",Championship
Apr-08,FT,Middlesbrough,03-Jan,Birmingham City,"13,399",Championship
Apr-12,FT,Burnley,0-1,Middlesbrough,"16,661",Championship
Apr-19,FT,Middlesbrough,01-Feb,Millwall,"15,342",Championship
Apr-22,FT,Reading,2-0,Middlesbrough,"17,228",Championship
Apr-26,FT,Middlesbrough,03-Jan,Barnsley,"14,867",Championship
May-03,FT,Yeovil Town,01-Apr,Middlesbrough,"6,477",Championship
