POS,NO.,PLAYER,AGE,GS,SB,G,SH,SG,A,FC,FS,YC,RC
D,2,Damia,34,--,--,--,--,--,--,--,--,--,--
D,4,Daniel Ayala,25,34,1,3,30,9,1,50,22,7,0
D,5,Ritchie De Laet,27,9,1,0,9,1,1,9,10,0,0
D,3,George Friend,28,39,1,1,24,7,2,26,39,2,0
D,22,Dael Fry,18,7,0,0,3,2,0,4,4,0,0
D,6,Ben Gibson,23,32,1,1,6,2,0,27,9,4,1
D,17,James Husband,22,22,1,0,4,2,4,30,36,3,1
D,26,Tomas Kalas,23,19,7,0,5,1,0,10,22,1,0
D,14,Rhys Williams,27,--,--,--,--,--,--,--,--,--,--
D,39,Jonathan Woodgate,36,0,0,0,0,0,0,0,0,0,0
M,27,Albert Adomah,28,36,7,6,81,29,5,37,30,1,0
M,8,Adam Clayton,27,41,2,1,32,5,1,67,52,13,0
M,10,Carlos De Peña,24,3,3,0,8,1,0,3,2,3,0
M,16,Julien De Sart,21,0,2,0,0,0,0,1,0,0,0
M,19,Stewart Downing,31,40,5,3,74,20,5,8,23,1,0
M,34,Adam Forshaw,24,9,20,2,20,6,2,16,12,0,0
M,7,Grant Leadbitter,30,39,2,4,54,17,3,40,17,11,0
M,33,Lewis Maloney,21,0,0,0,0,0,0,0,0,0,0
M,24,Emilio Nsue,26,37,3,3,25,5,2,19,29,2,0
M,21,Gastón Ramírez,25,15,3,7,40,17,1,30,34,1,0
F,35,David Nugent,31,24,14,8,62,25,7,44,30,3,1
F,9,Jordan Rhodes,26,38,5,16,116,54,2,27,54,2,0
F,23,Kike Sola,30,1,1,0,1,0,0,2,0,1,0
F,18,Cristhian Stuani,29,20,16,7,51,24,1,42,29,4,0
