POS,NO.,PLAYER,AGE,GS,SB,G,SH,SG,A,FC,FS,YC,RC
D,4,Daniel Ayala,27,34,0,7,28,9,1,43,26,2,1
D,14,Martin Cranie,31,1,8,0,1,0,0,3,1,1,0
D,3,George Friend,30,31,4,2,19,3,1,45,30,12,0
D,20,Dael Fry,20,12,2,0,4,1,1,9,9,1,0
D,6,Ben Gibson,25,48,0,1,19,6,3,44,23,6,0
D,5,Ryan Shotton,29,25,2,1,8,1,2,32,16,2,0
D,2,Fabio,27,18,6,1,18,5,1,28,19,2,0
M,30,Lewis Baker,23,6,6,1,17,5,0,5,12,1,0
M,27,Muhamed Besic,25,17,0,1,29,5,1,15,4,5,0
M,8,Adam Clayton,29,24,10,0,11,3,0,41,22,10,0
M,19,Stewart Downing,33,40,2,3,78,13,7,12,27,1,0
M,23,Jack Harrison,21,0,4,0,2,0,1,0,0,0,0
M,16,Jonathan Howson,30,39,6,3,42,7,2,36,22,7,0
M,21,Marvin Johnson,27,6,11,1,12,4,2,6,14,0,0
M,7,Grant Leadbitter,32,29,3,3,20,7,1,33,21,10,1
M,37,Adama Traoré,22,28,8,5,53,15,10,46,90,3,2
F,9,Britt Assombalonga,25,34,12,15,93,35,0,49,69,3,0
F,11,Patrick Bamford,24,23,18,11,72,27,0,44,40,1,0
F,39,Rudy Gestede,29,10,10,3,25,9,2,18,7,3,1
