POS,NO.,PLAYER,AGE,GS,SB,G,SH,SG,A,FC,FS,YC,RC
D,2,Damia,34,--,--,--,--,--,--,--,--,--,--
D,4,Daniel Ayala,25,1,0,0,1,0,0,2,0,0,0
D,5,Ritchie De Laet,27,2,0,0,0,0,0,0,1,0,0
D,3,George Friend,28,1,0,0,0,0,0,1,2,1,0
D,22,Dael Fry,18,--,--,--,--,--,--,--,--,--,--
D,6,Ben Gibson,23,0,0,0,0,0,0,0,0,0,0
D,17,James Husband,22,0,1,0,0,0,0,0,0,0,0
D,26,Tomas Kalas,23,1,0,0,0,0,0,0,2,0,0
D,14,Rhys Williams,27,0,1,0,2,0,0,2,1,1,0
D,39,Jonathan Woodgate,36,--,--,--,--,--,--,--,--,--,--
M,27,Albert Adomah,28,1,0,0,3,2,0,0,1,0,0
M,8,Adam Clayton,27,1,0,0,2,1,0,1,1,0,0
M,10,Carlos De Peña,24,1,0,0,1,1,0,0,0,0,0
M,16,Julien De Sart,21,--,--,--,--,--,--,--,--,--,--
M,19,Stewart Downing,31,0,0,0,0,0,0,0,0,0,0
M,34,Adam Forshaw,24,1,0,0,2,0,0,2,0,1,0
M,7,Grant Leadbitter,30,0,0,0,0,0,0,0,0,0,0
M,33,Lewis Maloney,21,--,--,--,--,--,--,--,--,--,--
M,24,Emilio Nsue,26,0,1,0,0,0,0,0,0,0,0
M,21,Gastón Ramírez,25,--,--,--,--,--,--,--,--,--,--
F,35,David Nugent,31,1,0,0,2,2,0,0,1,0,0
F,9,Jordan Rhodes,26,0,1,1,3,1,0,0,0,0,0
F,23,Kike Sola,30,--,--,--,--,--,--,--,--,--,--
F,18,Cristhian Stuani,29,0,1,0,0,0,0,0,0,0,0
