POS,NO.,PLAYER,AGE,GS,SB,G,SH,SG,A,FC,FS,YC,RC
D,4,Daniel Ayala,27,3,0,0,3,0,0,3,2,0,0
D,14,Martin Cranie,31,1,0,0,0,0,0,0,1,0,0
D,3,George Friend,30,2,0,0,0,0,0,2,2,0,0
D,20,Dael Fry,20,2,1,0,1,0,0,5,0,1,0
D,6,Ben Gibson,25,1,0,0,0,0,0,0,0,0,0
D,5,Ryan Shotton,29,1,0,0,0,0,0,2,1,1,0
D,2,Fabio,27,1,0,1,2,1,0,3,1,0,0
M,30,Lewis Baker,23,2,0,1,3,2,0,2,2,0,0
M,27,Muhamed Besic,25,1,0,0,1,0,0,2,1,0,0
M,8,Adam Clayton,29,1,0,0,2,1,0,2,1,0,0
M,19,Stewart Downing,33,0,3,0,4,1,0,0,0,0,0
M,23,Jack Harrison,21,--,--,--,--,--,--,--,--,--,--
M,16,Jonathan Howson,30,1,0,0,1,0,0,2,1,1,0
M,21,Marvin Johnson,27,1,0,1,2,2,0,2,1,0,0
M,7,Grant Leadbitter,32,1,0,0,1,0,1,1,1,0,0
M,37,Adama Traoré,22,2,0,0,2,1,2,3,2,0,0
F,9,Britt Assombalonga,25,0,0,0,0,0,0,0,0,0,0
F,11,Patrick Bamford,24,2,0,2,5,2,0,4,2,0,0
F,39,Rudy Gestede,29,0,1,0,1,0,0,0,0,0,0
