POS,NO.,PLAYER,AGE,GS,SB,G,SH,SG,A,FC,FS,YC,RC
D,4,Daniel Ayala,26,11,3,1,10,5,0,15,3,3,0
D,17,Antonio Barragán,29,26,0,0,3,0,0,27,20,5,0
D,25,Calum Chambers,22,25,0,2,8,3,1,23,12,4,0
D,3,George Friend,29,20,4,0,15,1,2,28,24,4,0
D,22,Dael Fry,19,0,0,0,0,0,0,0,0,0,0
D,6,Ben Gibson,24,38,0,1,15,6,1,19,15,4,0
D,40,James Husband,23,1,0,0,0,0,0,0,0,0,0
D,5,Bernardo,27,10,1,0,2,1,0,17,7,2,0
D,2,Fabio,26,21,3,0,5,2,0,29,20,8,0
M,8,Adam Clayton,28,32,2,0,11,2,2,52,42,10,0
M,19,Stewart Downing,32,24,6,1,29,6,3,10,14,1,0
M,34,Adam Forshaw,25,30,4,0,28,6,1,33,32,4,0
M,27,Adlène Guédioura,31,9,8,0,19,4,1,22,9,2,0
M,7,Grant Leadbitter,31,7,6,1,13,3,0,8,7,1,0
M,21,Gastón Ramírez,26,20,4,2,32,9,3,36,29,8,1
M,37,Adama Traoré,21,16,11,0,11,2,1,20,42,1,0
M,14,Marten de Roon,26,32,1,4,29,7,0,66,23,8,0
F,20,Patrick Bamford,23,2,12,1,7,3,0,12,11,1,0
F,11,Viktor Fischer,22,6,7,0,12,2,3,1,7,0,0
F,29,Rudy Gestede,28,4,12,1,16,5,0,8,12,3,0
F,10,Álvaro Negredo,31,33,3,9,69,23,4,45,31,5,0
F,18,Cristhian Stuani,30,16,7,4,21,10,0,21,29,4,0
