NAME,POS,AGE,HT,WT,NAT,APP,SUBIN,G,A,SH,ST,FC,FA,YC,RC
George Friend3,D,31,1.88 m,83 kg,England,38,1,2,2,30,7,31,34,4,0
Ryan Shotton5,D,30,1.88 m,84 kg,England,34,1,0,1,10,2,24,28,6,0
Paddy McNair17,D,24,1.73 m,72 kg,Northern Ireland,16,9,0,1,5,1,5,6,1,0
Dael Fry20,D,21,0.03 m,72 kg,England,34,1,0,4,6,1,9,22,1,0
George Saville22,D,25,1.75 m,73 kg,England,38,6,4,0,48,12,51,42,9,0
Nathan Wood-Gordon25,D,16,-,-,-,0,0,0,0,0,0,0,0,0,0
Marcus Tavernier28,D,20,-,-,-,20,18,3,1,14,5,16,9,2,0
Muhamed Besic37,D,26,1.78 m,74 kg,Germany,37,7,2,5,43,10,29,28,5,1
Djed Spence42,D,18,-,-,-,0,0,0,0,0,0,0,0,0,0
John Obi Mikel2,M,32,1.88 m,83 kg,Nigeria,18,0,1,0,11,2,35,12,4,0
Daniel Ayala4,M,28,1.91 m,83 kg,Spain,33,1,1,0,36,8,52,29,10,2
Adam Clayton8,M,30,1.75 m,74 kg,England,36,7,0,0,3,1,46,39,11,0
Britt Assombalonga9,M,26,1.78 m,77 kg,England,42,14,14,0,85,28,62,50,2,0
Sam McQueen14,M,24,1.75 m,69 kg,England,5,4,0,0,3,0,1,0,0,0
Jonathan Howson16,M,30,1.8 m,76 kg,England,46,2,1,6,61,21,38,31,7,0
Stewart Downing19,M,34,1.8 m,63 kg,England,38,14,2,1,46,12,9,17,2,0
Aden Flint24,M,29,1.98 m,76 kg,England,40,0,1,1,49,5,25,28,5,0
Lewis Wing26,M,23,-,-,England,28,9,3,3,43,8,35,15,3,0
Rajiv van La Parra29,M,27,1.8 m,72 kg,Netherlands,3,3,0,0,2,1,1,4,0,0
Patrick Reading40,M,19,-,-,-,-,-,-,-,-,-,-,-,-,-
Connor Malley43,M,19,-,-,-,-,-,-,-,-,-,-,-,-,-
Jordan Hugill11,F,26,1.83 m,63 kg,England,37,17,6,2,55,20,65,43,6,0
Ashley Fletcher18,F,23,-,-,England,21,7,5,0,44,16,19,11,0,0
Rudy Gestede39,F,30,1.93 m,86 kg,France,4,3,0,0,4,3,5,0,0,0
Bilal Brahimi47,F,19,-,-,-,-,-,-,-,-,-,-,-,-,-
