NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Tommy Smith2,D,32,1.85 m,73 kg,England,6,2,0,0,2,0,7,3,2,1
Rav van den Berg3,D,19,1.91 m,73 kg,Netherlands,34,1,1,0,13,5,22,11,2,0
Matthew Clarke5,D,27,1.85 m,83 kg,England,24,5,1,3,22,4,12,19,2,0
Dael Fry6,D,26,1.91 m,72 kg,England,28,0,0,1,16,4,11,13,1,0
Luke Ayling12,D,32,1.85 m,72 kg,England,33,6,1,9,24,4,23,24,10,0
Anfernee Dijksteel15,D,27,1.83 m,72 kg,Suriname,20,12,0,0,4,1,10,19,1,1
Paddy McNair17,D,29,1.83 m,72 kg,Northern Ireland,21,1,0,0,10,2,5,21,2,0
Alex Bangura24,D,24,1.83 m,--,Sierra Leone,14,8,2,1,4,2,7,18,1,0
Darragh Lenihan26,D,30,1.78 m,76 kg,Republic of Ireland,8,0,1,0,8,4,3,9,1,0
Lukas Ahlefeld Engel27,D,25,1.78 m,73 kg,Denmark,35,7,2,4,17,5,15,14,4,0
Luke Thomas33,D,22,1.8 m,67 kg,England,12,4,0,0,7,2,10,12,0,0
Daniel Barlaser4,M,27,1.83 m,62 kg,England,33,7,0,2,8,1,13,20,2,0
Hayden Hackney7,M,21,1.78 m,68 kg,England,21,1,1,0,25,4,29,29,6,0
Riley McGree8,M,25,1.78 m,78 kg,Australia,22,8,4,1,34,12,7,10,2,0
Isaiah Jones11,M,24,1.8 m,--,England,35,4,8,4,49,24,40,53,8,0
Jonathan Howson16,M,36,1.8 m,76 kg,England,38,3,2,2,23,9,26,24,9,0
Finn Azaz20,M,23,1.85 m,68 kg,Republic of Ireland,46,10,11,10,86,25,22,39,4,0
Lewis O'Brien28,M,25,1.73 m,73 kg,England,23,5,0,1,13,2,20,30,1,0
Sam Greenwood29,M,22,1.85 m,--,England,38,13,5,3,66,24,71,38,8,0
Law Mccabe49,M,17,--,--,England,3,2,0,0,0,0,2,0,0,0
Aidan Bridge52,M,19,1.8 m,--,England,0,0,0,0,0,0,0,0,0,0
Ajay Matthews53,M,17,--,--,England,2,2,0,0,0,0,0,0,0,0
James Wilson56,M,--,--,--,England,1,1,0,0,0,0,0,0,0,0
Luke Woolston59,M,19,--,--,England,0,0,0,0,0,0,0,0,0,0
Emmanuel Latte Lath9,F,25,1.78 m,73 kg,--,30,7,16,1,72,41,32,25,6,0
Matthew Hoppe13,F,23,1.91 m,78 kg,USA,0,0,0,0,0,0,0,0,0,0
Alex Gilbert14,F,22,1.83 m,67 kg,England,12,10,1,3,4,1,2,0,0,0
Samuel Silvera18,F,23,1.73 m,73 kg,Australia,37,25,4,2,46,9,20,21,0,0
Josh Coburn19,F,21,--,--,England,21,10,5,1,24,9,18,18,2,0
Marcus Forss21,F,24,1.83 m,76 kg,Finland,21,9,7,2,35,12,19,4,2,0
Daniel Nkrumah38,F,20,--,--,England,0,0,0,0,0,0,0,0,0,0
Pharrell Willis47,F,21,--,--,England,0,0,0,0,0,0,0,0,0,0
Charlie Lennon48,F,18,--,--,England,1,1,0,0,0,0,0,0,0,0
Sonny Finch64,F,18,--,--,England,1,1,0,0,0,0,1,0,0,0
