NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Matthew Clarke5,D,26,1.85 m,83 kg,England,6,0,0,0,5,2,6,4,1,0
Dael Fry6,D,25,1.8 m,72 kg,England,30,4,0,0,10,1,16,16,2,1
Tommy Smith14,D,31,1.85 m,73 kg,England,38,5,0,1,18,3,38,23,11,0
Anfernee Dijksteel15,D,26,1.83 m,72 kg,Suriname,21,11,0,1,1,0,9,16,2,1
Paddy McNair17,D,28,1.83 m,72 kg,Northern Ireland,32,4,1,0,15,3,19,35,6,0
Darragh Lenihan26,D,29,1.78 m,76 kg,Republic of Ireland,43,1,0,3,33,8,20,23,6,1
Marc Bola27,D,25,1.85 m,78 kg,England,25,16,0,0,11,2,14,4,3,0
Bryant Bilongo32,D,21,--,--,England,0,0,0,0,0,0,0,0,0,0
George Gitau45,D,19,--,--,Germany,--,--,--,--,--,--,--,--,--,--
Isaiah Jones2,M,23,--,--,England,36,11,3,5,25,9,37,71,9,0
Ryan John Giles3,M,23,1.78 m,--,England,47,2,0,12,17,5,15,14,3,0
Alex Mowatt4,M,28,1.7 m,71 kg,England,31,18,0,2,16,2,11,19,1,0
Daniel Barlaser7,M,26,1.83 m,62 kg,England,40,9,2,8,17,7,20,27,4,0
Riley McGree8,M,24,1.78 m,72 kg,Australia,45,8,6,3,79,22,41,34,4,0
Aaron Ramsey11,M,20,1.91 m,--,England,29,8,8,4,36,17,11,24,1,0
Jonathan Howson16,M,35,1.8 m,77 kg,England,44,1,0,3,10,1,28,20,9,0
Stephen Walker19,M,22,--,--,England,--,--,--,--,--,--,--,--,--,--
Caolan Boyd-Munce20,M,23,--,--,Northern Ireland,1,1,0,0,0,0,0,0,0,0
Matt Crooks25,M,29,1.83 m,72 kg,England,39,21,7,6,41,14,30,17,8,0
Hayden Hackney30,M,20,--,--,England,36,2,3,4,35,6,58,37,9,0
Joseph Gibson33,M,21,--,--,England,--,--,--,--,--,--,--,--,--,--
Isaac Fletcher35,M,21,--,--,England,--,--,--,--,--,--,--,--,--,--
Jeremy Sivi39,M,20,--,--,England,--,--,--,--,--,--,--,--,--,--
Jack Stott46,M,19,--,--,England,0,0,0,0,0,0,0,0,0,0
Cain Sykes47,M,20,--,--,England,0,0,0,0,0,0,0,0,0,0
Cameron Archer10,F,21,1.7 m,72 kg,England,22,3,11,6,41,17,19,15,1,0
Matthew Hoppe13,F,22,1.91 m,78 kg,USA,6,6,0,0,4,1,4,0,0,0
Marcus Forss21,F,23,1.83 m,76 kg,Finland,40,15,10,5,45,20,35,19,5,0
Chuba Akpom29,F,27,1.83 m,68 kg,England,40,3,28,2,99,46,33,95,6,0
Sonny Finch31,F,17,--,--,England,3,3,0,0,0,0,0,1,0,0
Calum Kavanagh36,F,19,--,--,--,--,--,--,--,--,--,--,--,--,--
Pharrell Willis44,F,20,--,--,England,1,1,0,0,1,0,0,0,0,0
