NAME,POS,AGE,HT,WT,NAT,APP,SUBIN,G,A,SH,ST,FC,FA,YC,RC
George Friend3,D,31,1.88 m,83 kg,England,3,0,1,0,3,2,5,1,0,0
Ryan Shotton5,D,30,1.88 m,84 kg,England,1,0,0,0,0,0,1,2,0,0
Paddy McNair17,D,24,1.73 m,72 kg,Northern Ireland,3,1,0,1,1,0,3,1,0,0
Dael Fry20,D,21,0.03 m,72 kg,England,2,0,0,0,0,0,1,1,0,0
George Saville22,D,25,1.75 m,73 kg,England,1,0,0,0,3,1,3,2,0,0
Nathan Wood-Gordon25,D,16,-,-,-,0,0,0,0,0,0,0,0,0,0
Marcus Tavernier28,D,20,-,-,-,2,1,0,1,2,0,3,0,0,0
Muhamed Besic37,D,26,1.78 m,74 kg,Germany,0,0,0,0,0,0,0,0,0,0
Djed Spence42,D,18,-,-,-,0,0,0,0,0,0,0,0,0,0
John Obi Mikel2,M,32,1.88 m,83 kg,Nigeria,1,0,0,0,0,0,0,1,0,0
Daniel Ayala4,M,28,1.91 m,83 kg,Spain,3,0,1,0,2,1,3,1,0,0
Adam Clayton8,M,30,1.75 m,74 kg,England,2,1,0,0,2,0,0,0,0,0
Britt Assombalonga9,M,26,1.78 m,77 kg,England,3,0,2,0,7,3,6,1,0,0
Sam McQueen14,M,24,1.75 m,69 kg,England,-,-,-,-,-,-,-,-,-,-
Jonathan Howson16,M,30,1.8 m,76 kg,England,1,0,0,0,1,0,0,1,0,0
Stewart Downing19,M,34,1.8 m,63 kg,England,1,0,0,0,1,0,0,1,0,0
Aden Flint24,M,29,1.98 m,76 kg,England,2,0,0,0,1,0,0,1,0,0
Lewis Wing26,M,23,-,-,England,3,1,1,1,9,2,3,2,0,0
Rajiv van La Parra29,M,27,1.8 m,72 kg,Netherlands,2,1,0,0,1,0,0,0,0,0
Patrick Reading40,M,19,-,-,-,-,-,-,-,-,-,-,-,-,-
Connor Malley43,M,19,-,-,-,-,-,-,-,-,-,-,-,-,-
Jordan Hugill11,F,26,1.83 m,63 kg,England,1,0,0,0,1,0,0,0,0,0
Ashley Fletcher18,F,23,-,-,England,3,1,1,1,7,2,6,0,1,0
Rudy Gestede39,F,30,1.93 m,86 kg,France,2,1,0,1,1,1,1,0,0,0
Bilal Brahimi47,F,19,-,-,-,-,-,-,-,-,-,-,-,-,-
