NAME,POS,AGE,HT,WT,NAT,APP,SUBIN,G,A,SH,ST,FC,FA,YC,RC
George Friend3,D,31,1.88 m,83 kg,England,2,0,0,0,1,1,2,4,0,0
Ryan Shotton5,D,30,1.88 m,84 kg,England,-,-,-,-,-,-,-,-,-,-
Danny Batth6,D,28,1.91 m,90 kg,England,3,0,0,0,1,0,3,3,0,0
Paddy McNair17,D,24,1.73 m,72 kg,Northern Ireland,4,0,0,0,10,2,6,4,0,0
Dael Fry20,D,21,0.03 m,72 kg,England,3,0,0,0,0,0,1,0,0,0
George Saville22,D,25,1.75 m,73 kg,England,1,1,0,0,1,0,2,2,0,0
Nathan Wood-Gordon25,D,16,-,-,-,3,1,0,0,0,0,3,1,0,0
Marcus Tavernier28,D,20,-,-,-,5,1,1,1,4,1,6,5,0,0
Muhamed Besic37,D,26,1.78 m,74 kg,Germany,2,0,0,0,0,0,2,0,1,0
Sam Stubbs38,D,20,-,-,England,0,0,0,0,0,0,0,0,0,0
Djed Spence42,D,18,-,-,-,2,2,0,0,0,0,0,0,0,0
John Obi Mikel2,M,32,1.88 m,83 kg,Nigeria,-,-,-,-,-,-,-,-,-,-
Daniel Ayala4,M,28,1.91 m,83 kg,Spain,3,0,0,1,0,0,2,3,0,0
Grant Leadbitter7,M,33,1.78 m,78 kg,England,5,0,0,0,4,1,6,1,1,0
Adam Clayton8,M,30,1.75 m,74 kg,England,-,-,-,-,-,-,-,-,-,-
Britt Assombalonga9,M,26,1.78 m,77 kg,England,1,1,0,0,0,0,0,1,0,0
Sam McQueen14,M,24,1.75 m,69 kg,England,2,0,0,0,2,0,2,0,0,0
Jonathan Howson16,M,30,1.8 m,76 kg,England,-,-,-,-,-,-,-,-,-,-
Stewart Downing19,M,34,1.8 m,63 kg,England,1,0,0,0,1,1,0,1,0,0
Aden Flint24,M,29,1.98 m,76 kg,England,1,0,0,0,1,0,0,1,0,0
Lewis Wing26,M,23,-,-,England,3,0,1,1,4,2,6,3,0,0
Harry Chapman27,M,21,-,-,England,3,2,0,0,4,1,1,4,0,0
Rajiv van La Parra29,M,27,1.8 m,72 kg,Netherlands,-,-,-,-,-,-,-,-,-,-
Ben Liddle36,M,20,-,-,-,0,0,0,0,0,0,0,0,0,0
Patrick Reading40,M,19,-,-,-,0,0,0,0,0,0,0,0,0,0
Connor Malley43,M,19,-,-,-,0,0,0,0,0,0,0,0,0,0
Stephen Walker46,M,18,-,-,-,1,1,0,1,0,0,0,0,0,0
Jordan Hugill11,F,26,1.83 m,63 kg,England,3,0,1,0,8,2,2,4,1,0
Ashley Fletcher18,F,23,-,-,England,5,2,3,0,12,6,9,4,0,0
Rudy Gestede39,F,30,1.93 m,86 kg,France,2,1,0,1,4,1,1,1,0,0
Bilal Brahimi47,F,19,-,-,-,1,1,0,0,1,1,0,1,0,0
