NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Anfernee Dijksteel2,D,24,1.83 m,72 kg,Netherlands,2,0,0,0,0,0,2,3,0,0
Grant Hall4,D,29,1.75 m,71 kg,England,1,0,0,0,0,0,0,0,0,0
Dael Fry6,D,23,1.8 m,72 kg,England,2,0,0,0,0,0,0,1,0,0
Paddy McNair17,D,26,1.83 m,72 kg,Northern Ireland,1,1,0,0,1,1,0,2,0,0
Darnell Fisher20,D,27,1.75 m,78 kg,England,1,0,0,1,1,0,3,4,1,0
Marc Bola27,D,23,1.85 m,78 kg,England,1,0,0,0,0,0,1,0,0,0
Djed Spence29,D,20,--,--,England,1,0,0,0,0,0,3,3,0,0
Hayden Coulson33,D,22,--,--,England,1,0,0,0,1,1,0,0,0,0
Williams Kokolo40,D,20,--,--,France,--,--,--,--,--,--,--,--,--,--
Marvin Johnson3,M,30,1.78 m,73 kg,England,1,0,1,1,1,1,0,1,0,0
Sam Morsy5,M,29,1.75 m,68 kg,Egypt,1,0,0,0,0,0,3,0,1,0
Marcus Tavernier7,M,22,--,--,England,2,0,1,0,4,3,4,2,0,0
Marcus Browne12,M,23,1.78 m,73 kg,England,2,1,0,0,2,1,1,6,0,0
Jonathan Howson16,M,33,1.8 m,77 kg,England,2,1,0,0,0,0,1,0,0,0
Nathaniel Mendez-Laing19,M,29,1.8 m,77 kg,England,--,--,--,--,--,--,--,--,--,--
Neeskens Kebano21,M,29,1.7 m,63 kg,Congo DR,3,0,0,0,8,2,3,4,0,0
George Saville22,M,27,1.75 m,73 kg,Northern Ireland,--,--,--,--,--,--,--,--,--,--
Sam Folarin24,M,--,--,--,England,1,1,0,0,1,0,0,0,0,0
Hayden Hackney34,M,18,--,--,England,--,--,--,--,--,--,--,--,--,--
Connor Malley34,M,21,--,--,England,--,--,--,--,--,--,--,--,--,--
Isaac Fletcher38,M,18,--,--,England,--,--,--,--,--,--,--,--,--,--
Cain Sykes44,M,18,--,--,England,--,--,--,--,--,--,--,--,--,--
Britt Assombalonga9,F,28,1.78 m,78 kg,Congo DR,1,0,0,0,2,1,2,3,0,0
Chuba Akpom10,F,25,1.83 m,68 kg,England,--,--,--,--,--,--,--,--,--,--
Ashley Fletcher11,F,25,1.85 m,78 kg,England,2,0,2,0,4,2,3,4,0,0
Yannick Bolasie14,F,31,1.88 m,83 kg,Congo DR,--,--,--,--,--,--,--,--,--,--
Duncan Watmore18,F,27,1.75 m,72 kg,England,--,--,--,--,--,--,--,--,--,--
Rumarn Burrell39,F,20,--,--,England,--,--,--,--,--,--,--,--,--,--
Josh Coburn45,F,18,--,--,England,--,--,--,--,--,--,--,--,--,--
