NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
31,David Wheater,41,0,1,23,3,0,61,32,4,0
16,Gary O'Neil,34,1,4,50,26,6,59,44,9,0
25,Rhys Williams,30,1,1,22,13,1,38,29,9,1
20,Julio Arca,25,8,0,22,14,2,33,29,7,0
-,Adam Johnson,24,1,11,38,11,5,14,42,2,0
9,Leroy Lita,23,16,8,59,32,3,27,47,6,1
2,Justin Hoyte,22,7,1,8,2,1,7,4,1,0
29,Tony McMahon,20,1,0,6,3,1,27,17,2,0
17,Barry Robson,18,0,5,27,16,5,35,38,7,1
23,Jonathan Grounds,16,3,0,0,0,1,14,12,1,0
19,Stephen McManus,16,0,1,5,2,0,15,15,5,0
12,Christopher Killen,15,2,3,28,15,1,29,29,3,0
10,Jeremie Aliadiere,15,4,4,22,16,1,26,17,1,0
6,Emanuel Pogatetz,13,0,0,4,1,0,15,17,2,0
-,Sean St. Ledger,13,1,1,5,3,0,13,16,0,0
33,Kyle Naughton,12,3,0,4,0,0,1,5,0,0
7,Scott McDonald,12,1,4,24,7,1,8,19,1,0
-,Mark Yeates,11,7,1,29,15,1,15,20,1,0
11,Marvin Emnes,11,4,1,10,5,2,4,14,0,0
14,Willo Flood,11,0,1,7,4,0,10,17,0,0
-,Isaiah Osbourne,9,0,0,6,2,0,10,6,2,0
28,Jonathan Franks,9,14,3,11,8,1,5,4,0,0
27,Joseph Bennett,9,2,0,1,0,0,8,10,1,0
3,Andrew Taylor,8,4,0,1,0,0,4,4,0,0
-,Dave Kitson,6,0,3,8,3,0,7,8,1,0
18,Lee Miller,6,4,0,13,5,0,6,11,0,0
5,Chris Riggott,4,2,0,1,1,0,3,2,0,0
8,Didier Digard,4,5,0,7,2,0,10,3,1,0
-,Robert Huth,4,0,0,1,0,0,2,5,2,0
-,Marcus Bent,3,4,0,7,3,0,6,10,0,0
35,Luke Williams,2,2,0,7,3,0,0,8,0,0
24,Seb Hines,2,0,0,1,1,0,2,2,1,0
-,James O'Shea,1,1,0,1,1,0,2,1,0,0
-,Josh Walker,1,0,0,2,1,0,0,1,0,0
-,Ben Gibson,0,0,0,0,0,0,0,0,0,0
-,Bruno Pilatos,0,0,0,0,0,0,0,0,0,0
-,Caleb Folan,0,1,0,0,0,0,2,2,0,0
-,Cameron Park,0,0,0,0,0,0,0,0,0,0
-,Tuncay Sanli,0,3,2,0,0,0,2,0,0,0
