NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
-,Nick Bailey,3,0,0,0,0,0,2,2,1,0
-,Rhys Williams,3,0,0,2,0,0,5,4,0,0
-,Adam Reach,2,0,0,2,2,1,2,0,0,0
-,Andre Amougou,2,0,0,2,0,0,0,0,0,0
-,Merouane Zemmama,2,1,2,8,4,0,1,2,0,0
-,Richard Smallwood,2,0,0,1,0,1,2,0,0,0
-,Stuart Parnaby,2,0,0,1,1,0,2,1,0,0
-,Andy Halliday,1,1,1,1,1,0,2,0,1,0
-,Curtis Main,1,0,0,0,0,0,1,0,0,0
-,Faris Haroun,1,1,0,0,0,0,2,1,0,0
-,George Friend,1,0,0,0,0,0,0,1,0,0
-,Grant Leadbitter,1,1,0,1,1,0,0,0,1,0
-,Ishmael Miller,1,1,1,5,2,0,1,2,0,0
-,Kevin Thomson,1,0,0,2,1,1,1,1,1,0
-,Lukas Jutkiewicz,1,0,2,4,1,0,1,2,0,0
-,Luke Williams,1,0,0,2,0,1,1,2,0,0
-,Marvin Emnes,1,0,0,0,0,0,1,2,0,0
-,Mustapha Carayol,1,0,0,2,1,0,1,0,0,0
-,Scott McDonald,1,0,0,3,1,0,1,3,0,0
-,Seb Hines,1,1,0,2,1,0,1,1,1,0
-,Stephen McManus,1,0,0,0,0,0,0,0,1,0
-,Bryn Morris,0,1,0,0,0,0,0,0,0,0
-,Christian Burgess,0,0,0,0,0,0,0,0,0,0
-,Emanuele Ledesema,0,1,0,2,2,0,1,1,1,0
-,Jordan Jones,0,1,0,1,0,0,1,1,0,0
