NUM,NAME,GS,SB,G,SH,SG,A,FC,FS,YC,RC
-,Emanuele Ledesema,4,0,1,8,6,0,4,3,0,0
-,George Friend,4,0,0,2,1,1,4,2,0,0
-,Nick Bailey,4,0,0,3,1,1,9,4,1,0
-,Seb Hines,4,0,0,3,0,0,1,3,0,0
-,Grant Leadbitter,3,0,1,7,6,1,2,0,1,0
-,Justin Hoyte,3,0,0,2,1,0,0,1,0,0
-,Andre Amougou,2,0,0,0,0,0,2,1,0,0
-,Andy Halliday,2,1,0,0,0,0,5,4,0,0
-,Faris Haroun,2,2,0,4,2,0,3,0,0,0
-,Julio Arca,2,0,0,3,0,0,4,4,0,0
-,Marvin Emnes,2,1,1,5,3,0,1,4,0,0
-,Mustapha Carayol,2,0,1,3,1,0,2,1,0,0
-,Rhys Williams,2,0,0,1,0,0,1,0,0,0
-,Richard Smallwood,2,2,1,0,0,1,2,4,1,0
-,Scott McDonald,2,0,1,3,1,0,5,4,1,0
-,Stephen McManus,2,0,0,0,0,0,1,0,0,0
-,Cameron Park,1,0,1,1,0,0,0,0,0,0
-,Ishmael Miller,1,2,0,5,2,1,2,1,0,0
-,Jonathan Woodgate,1,0,0,0,0,0,2,0,0,0
-,Kevin Thomson,1,1,0,0,0,0,0,2,0,0
-,Lukas Jutkiewicz,1,0,0,2,1,0,0,0,0,0
-,Luke Williams,1,1,0,3,2,0,2,4,0,0
-,Merouane Zemmama,1,1,1,1,0,1,1,0,0,0
-,Stuart Parnaby,1,1,0,1,1,0,3,1,0,0
-,Adam Reach,0,2,0,0,0,0,1,1,0,0
-,Curtis Main,0,0,0,0,0,0,0,0,0,0
