Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Sat,2004-06-12,17:00,Portugal pt,1–2,gr Greece,48761,Estádio Do Dragão,Pierluigi Collina,Match Report,
Group stage,1,Sat,2004-06-12,19:45,Spain es,1–0,ru Russia,28182,Estádio Do Algarve,Urs Meier,Match Report,
Group stage,1,Sun,2004-06-13,17:00,Switzerland ch,0–0,hr Croatia,24090,Estádio Dr. Magalhães Pessoa,Lucílio Cardoso Cortez Batista,Match Report,
Group stage,1,Sun,2004-06-13,19:45,France fr,2–1,eng England,62487,Estádio do Sport Lisboa e Benfica,Markus Merk,Match Report,
Group stage,1,Mon,2004-06-14,17:00,Denmark dk,0–0,it Italy,19595,Estádio Dom Afonso Henriques,Manuel Mejuto,Match Report,
Group stage,1,Mon,2004-06-14,19:45,Sweden se,5–0,bg Bulgaria,31652,Estádio José Alvalade,Michael Riley,Match Report,
Group stage,1,Tue,2004-06-15,17:00,Czech Republic cz,2–1,lv Latvia,21744,Estádio Municipal de Aveiro,Gilles Veissière,Match Report,
Group stage,1,Tue,2004-06-15,19:45,Germany de,1–1,nl Netherlands,48197,Estádio Do Dragão,Anders Frisk,Match Report,
,,,,,,,,,,,,
Group stage,2,Wed,2004-06-16,17:00,Greece gr,1–1,es Spain,25444,Estádio do Bessa Século XXI,Ľuboš Micheľ,Match Report,
Group stage,2,Wed,2004-06-16,19:45,Russia ru,0–2,pt Portugal,59273,Estádio do Sport Lisboa e Benfica,Terje Hauge,Match Report,
Group stage,2,Thu,2004-06-17,17:00,England eng,3–0,ch Switzerland,28214,Estádio EFAPEL,Valentin Ivanov,Match Report,
Group stage,2,Thu,2004-06-17,19:45,Croatia hr,2–2,fr France,29160,Estádio Dr. Magalhães Pessoa,Kim Milton Nielsen,Match Report,
Group stage,2,Fri,2004-06-18,17:00,Bulgaria bg,0–2,dk Denmark,24131,Estádio Municipal de Braga,Lucílio Cardoso Cortez Batista,Match Report,
Group stage,2,Fri,2004-06-18,19:45,Italy it,1–1,se Sweden,44926,Estádio Do Dragão,Urs Meier,Match Report,
Group stage,2,Sat,2004-06-19,17:00,Latvia lv,0–0,de Germany,22344,Estádio do Bessa Século XXI,Michael Riley,Match Report,
Group stage,2,Sat,2004-06-19,19:45,Netherlands nl,2–3,cz Czech Republic,29935,Estádio Municipal de Aveiro,Manuel Mejuto,Match Report,
,,,,,,,,,,,,
Group stage,3,Sun,2004-06-20,19:45,Spain es,0–1,pt Portugal,47491,Estádio José Alvalade,Anders Frisk,Match Report,
Group stage,3,Sun,2004-06-20,19:45,Russia ru,2–1,gr Greece,24347,Estádio Do Algarve,Gilles Veissière,Match Report,
Group stage,3,Mon,2004-06-21,19:45,Croatia hr,2–4,eng England,57047,Estádio do Sport Lisboa e Benfica,Pierluigi Collina,Match Report,
Group stage,3,Mon,2004-06-21,19:45,Switzerland ch,1–3,fr France,28111,Estádio EFAPEL,Ľuboš Micheľ,Match Report,
Group stage,3,Tue,2004-06-22,19:45,Denmark dk,2–2,se Sweden,26115,Estádio do Bessa Século XXI,Markus Merk,Match Report,
Group stage,3,Tue,2004-06-22,19:45,Italy it,2–1,bg Bulgaria,16002,Estádio Dom Afonso Henriques,Valentin Ivanov,Match Report,
Group stage,3,Wed,2004-06-23,19:45,Netherlands nl,3–0,lv Latvia,27904,Estádio Municipal de Braga,Kim Milton Nielsen,Match Report,
Group stage,3,Wed,2004-06-23,19:45,Germany de,1–2,cz Czech Republic,46849,Estádio José Alvalade,Terje Hauge,Match Report,
,,,,,,,,,,,,
Quarter-finals,,Thu,2004-06-24,19:45,Portugal pt,(6) 2–2 (5),eng England,62564,Estádio do Sport Lisboa e Benfica,Urs Meier,Match Report,Portugal won on penalty kicks following extra time
Quarter-finals,,Fri,2004-06-25,19:45,France fr,0–1,gr Greece,45390,Estádio José Alvalade,Anders Frisk,Match Report,
Quarter-finals,,Sat,2004-06-26,19:45,Sweden se,(4) 0–0 (5),nl Netherlands,27762,Estádio Do Algarve,Ľuboš Micheľ,Match Report,Netherlands won on penalty kicks following extra time
Quarter-finals,,Sun,2004-06-27,19:45,Czech Republic cz,3–0,dk Denmark,41092,Estádio Do Dragão,Valentin Ivanov,Match Report,
Semi-finals,,Wed,2004-06-30,19:45,Portugal pt,2–1,nl Netherlands,46679,Estádio José Alvalade,Anders Frisk,Match Report,
Semi-finals,,Thu,2004-07-01,19:45,Greece gr,1–0,cz Czech Republic,42449,Estádio Do Dragão,Pierluigi Collina,Match Report,Required Extra Time
Final,,Sun,2004-07-04,19:45,Portugal pt,0–1,gr Greece,62865,Estádio do Sport Lisboa e Benfica,Markus Merk,Match Report,
