Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Fri,2021-06-11,21:00 (20:00),Turkey tr,0.2,0–3,1.7,it Italy,12916,Stadio Olimpico (Neutral Site),Danny Makkelie,Match Report,
Group stage,1,Sat,2021-06-12,17:00 (14:00),Wales wal,0.5,1–1,1.4,ch Switzerland,8782,Bakı Olimpiya Stadionu (Neutral Site),Clément Turpin,Match Report,
Group stage,1,Sat,2021-06-12,18:00 (17:00),Denmark dk,1.9,0–1,0.4,fi Finland,13790,Telia Parken (Neutral Site),Anthony Taylor,Match Report,
Group stage,1,Sat,2021-06-12,22:00 (20:00),Belgium be,1.7,3–0,0.3,ru Russia,26264,Gazprom Arena (Neutral Site),Antonio Matéu Lahoz,Match Report,
Group stage,1,Sun,2021-06-13,14:00,England eng,0.9,1–0,0.3,hr Croatia,18497,Wembley Stadium (Neutral Site),Daniele Orsato,Match Report,
Group stage,1,Sun,2021-06-13,19:00 (17:00),Austria at,1.4,3–1,0.7,mk North Macedonia,9082,Arena Naţională (Neutral Site),Andreas Ekberg,Match Report,
Group stage,1,Sun,2021-06-13,21:00 (20:00),Netherlands nl,1.4,3–2,0.6,ua Ukraine,15837,Johan Cruyff ArenA (Neutral Site),Felix Brych,Match Report,
Group stage,1,Mon,2021-06-14,14:00,Scotland sco,1.8,0–2,0.9,cz Czech Republic,9847,Hampden Park (Neutral Site),Daniel Siebert,Match Report,
Group stage,1,Mon,2021-06-14,17:00,Poland pl,1.3,1–2,0.3,sk Slovakia,12862,Gazprom Arena (Neutral Site),Ovidiu Hațegan,Match Report,
Group stage,1,Mon,2021-06-14,21:00 (20:00),Spain es,1.9,0–0,1.1,se Sweden,10559,Estadio La Cartuja de Sevilla (Neutral Site),Slavko Vinčič,Match Report,
Group stage,1,Tue,2021-06-15,18:00 (17:00),Hungary hu,0.2,0–3,2.6,pt Portugal,55662,Puskás Aréna (Neutral Site),Cüneyt Çakιr,Match Report,
