Team,Matches,Goals for,Goals against,All goals, Goal pace (all goals per game) ,Rank
Russia,,,,,,16
Saudi Arabia,18,45,14,59, 3.28 ,6
Egypt,8,12,5,17, 2.13 ,26
Uruguay,18,32,20,52, 2.89 ,11
Portugal,10,32,4,36, 3.60 ,5
Spain,10,36,3,39, 3.90 ,4
Morocco,8,13,1,14, 1.75 ,31
Iran,18,36,5,41, 2.28 ,23
France,10,18,6,24, 2.40 ,19
Australia,22,51,18,69, 3.14 ,7
Peru,20,29,26,55, 2.75 ,14
Denmark,12,25,9,34, 2.83 ,12
Argentina,18,19,16,35, 1.94 ,29
Iceland,10,16,7,23, 2.30 ,22
Croatia,12,19,5,24, 2.00 ,28
Nigeria,8,13,6,19, 2.38 ,20
Brazil,18,42,11,53, 2.94 ,10
Switzerland,12,24,7,31, 2.58 ,17
Costa Rica,16,25,11,36, 2.25 ,24
Serbia,10,20,10,30, 3.00 ,8
Germany,10,43,4,47, 4.70 ,2
Mexico,16,29,8,37, 2.31 ,21
Sweden,12,27,9,36, 3.00 ,8
South Korea,18,38,10,48, 2.67 ,15
Belgium,10,43,6,49, 4.90 ,1
Panama,16,16,15,31, 1.94 ,30
Tunisia,8,15,6,21, 2.63 ,16
England,10,18,3,21, 2.10 ,27
Poland,10,28,14,42, 4.20 ,3
Senegal,8,15,5,20, 2.50 ,18
Colombia,18,21,19,40, 2.22 ,25
Japan,18,44,7,51, 2.83 ,12
