Club,High,High Opponent,Low,Low Opponent,Average
Newcastle,52181,Ipswich Town(24/04/10),36944,Reading(15/08/09),43387
Derby County,33010,Peterborough(08/08/09),26186,Plymouth(22/08/09),29230
Sheffield Utd,29210,Sheffield Wed(18/09/09),22555,Blackpool(16/03/10),25120
Leicester City,31759,Nottm Forest(27/02/10),18928,Doncaster(09/02/10),23942
Nottm Forest,29155,Newcastle(17/10/09),18332,Scunthorpe(30/09/09),23831
Sheffield Wed,37121,Crystal Palace(02/05/10),18329,Swansea City(19/12/09),23179
WBA,25297,Barnsley(02/05/10),19390,Ipswich Town(22/08/09),22199
Ipswich Town,27059,Newcastle(26/09/09),19283,Watford(20/10/09),20840
Cardiff City,25630,Newcastle(13/09/09),17686,Peterborough(09/02/10),20717
Middlesbrough,27342,Newcastle(13/03/10),16847,Swansea City(23/01/10),19645
Reading,23163,Newcastle(13/04/10),14096,Derby County(10/03/10),17408
Coventry City,22209,Leicester City(03/10/09),14426,Sheffield Utd(15/09/09),17305
Swansea City,18794,Crystal Palace(28/12/09),12775,Reading(18/08/09),15407
Crystal Palace,20643,Newcastle(22/08/09),12328,Swansea City(09/02/10),14770
Bristol City,19144,Newcastle(20/03/10),13009,Barnsley(23/03/10),14600
Watford,17120,Newcastle(27/02/10),12179,Bristol City(09/02/10),14344
QPR,17082,Leicester City(30/10/09),10940,Ipswich Town(09/02/10),13348
Preston,19840,Blackpool(13/02/10),10270,Sheffield Utd(09/02/10),12991
Barnsley,20079,Newcastle(12/12/09),11116,Reading(29/08/09),12964
Doncaster,14850,Newcastle(23/03/10),8827,Reading(06/02/10),10991
Plymouth,14792,Nottm Forest(27/09/09),7243,Barnsley(30/03/10),10316
Peterborough,12877,Newcastle(03/04/10),6445,Bristol City(27/03/10),8913
Blackpool,12296,Bristol City(02/05/10),6855,Watford(23/01/10),8611
Scunthorpe,8921,Newcastle(20/10/09),4995,Peterborough(23/03/10),6383
