Club,F,Y,R,P
Sheffield Wed,541,90,2,6
Bolton,535,86,4,10
Millwall,532,90,3,7
Leeds United,502,69,5,7
Derby County,500,61,3,5
Charlton,499,57,2,4
Nottm Forest,493,81,5,3
Cardiff City,492,75,3,5
Blackburn,491,72,1,6
Huddersfield,481,89,4,5
Barnsley,474,68,3,4
Crystal Palace,468,65,2,3
Watford,462,80,6,9
Peterborough,456,53,1,9
Burnley,450,88,4,4
Ipswich Town,443,54,2,8
Wolves,441,56,5,5
Brighton,439,69,4,7
Leicester City,435,52,2,7
Middlesbrough,432,57,2,6
Birmingham,428,60,3,5
Hull City,421,59,0,4
Blackpool,413,61,3,5
Bristol City,384,47,0,5
