Club,ON,OFF,HW
Leicester City,228,518,16
Blackburn,218,445,10
Bournemouth,205,437,10
Derby County,204,437,7
Bolton,212,424,8
Middlesbrough,203,428,9
Wigan Athletic,182,443,11
QPR,189,434,16
Nottm Forest,190,419,13
Burnley,201,403,9
Huddersfield,182,421,14
Brighton,172,422,15
Sheffield Wed,176,412,10
Watford,196,382,9
Barnsley,160,412,8
Ipswich Town,186,377,7
Leeds United,164,396,5
Yeovil Town,173,373,16
Reading,159,381,4
Millwall,167,363,12
Blackpool,136,388,5
Birmingham,179,336,12
Charlton,152,334,9
Doncaster,141,336,10
