competition_id,season_id,country_name,competition_name,competition_gender,season_name,match_updated,match_available
16,4,Europe,Champions League,male,2018/2019,2020-10-25T12:33:27.855343,2020-10-25T12:33:27.855343
16,1,Europe,Champions League,male,2017/2018,2020-07-29T05:00,2020-07-29T05:00
16,2,Europe,Champions League,male,2016/2017,2020-08-26T12:33:15.869622,2020-07-29T05:00
16,27,Europe,Champions League,male,2015/2016,2020-08-26T12:33:15.869622,2020-07-29T05:00
16,26,Europe,Champions League,male,2014/2015,2020-08-26T12:33:15.869622,2020-07-29T05:00
16,25,Europe,Champions League,male,2013/2014,2020-08-26T12:33:15.869622,2020-07-29T05:00
16,24,Europe,Champions League,male,2012/2013,2020-08-26T12:33:15.869622,2020-07-29T05:00
16,23,Europe,Champions League,male,2011/2012,2020-08-26T12:33:15.869622,2020-07-29T05:00
16,22,Europe,Champions League,male,2010/2011,2020-07-29T05:00,2020-07-29T05:00
16,21,Europe,Champions League,male,2009/2010,2020-07-29T05:00,2020-07-29T05:00
16,41,Europe,Champions League,male,2008/2009,2020-08-30T10:18:39.435424,2020-08-30T10:18:39.435424
16,39,Europe,Champions League,male,2006/2007,2020-07-29T05:00,2020-07-29T05:00
16,37,Europe,Champions League,male,2004/2005,2020-07-29T05:00,2020-07-29T05:00
16,44,Europe,Champions League,male,2003/2004,2020-08-30T10:18:39.435424,2020-08-30T10:18:39.435424
16,76,Europe,Champions League,male,1999/2000,2020-07-29T05:00,2020-07-29T05:00
37,42,England,FA Women's Super League,female,2019/2020,2020-10-20T18:35:33.568528,2020-10-20T18:35:33.568528
37,4,England,FA Women's Super League,female,2018/2019,2020-10-25T12:33:27.855343,2020-10-25T12:33:27.855343
43,3,International,FIFA World Cup,male,2018,2020-10-25T14:03:50.263266,2020-10-25T14:03:50.263266
11,42,Spain,La Liga,male,2019/2020,2020-12-18T12:10:38.985394,2020-12-18T12:10:38.985394
11,4,Spain,La Liga,male,2018/2019,2020-07-29T05:00,2020-07-29T05:00
11,1,Spain,La Liga,male,2017/2018,2020-07-29T05:00,2020-07-29T05:00
11,2,Spain,La Liga,male,2016/2017,2020-11-18T04:41:11.144314,2020-11-18T04:41:11.144314
11,27,Spain,La Liga,male,2015/2016,2020-07-29T05:00,2020-07-29T05:00
11,26,Spain,La Liga,male,2014/2015,2020-07-29T05:00,2020-07-29T05:00
11,25,Spain,La Liga,male,2013/2014,2020-07-29T05:00,2020-07-29T05:00
11,24,Spain,La Liga,male,2012/2013,2020-07-29T05:00,2020-07-29T05:00
11,23,Spain,La Liga,male,2011/2012,2020-07-29T05:00,2020-07-29T05:00
11,22,Spain,La Liga,male,2010/2011,2020-07-29T05:00,2020-07-29T05:00
11,21,Spain,La Liga,male,2009/2010,2020-07-29T05:00,2020-07-29T05:00
11,41,Spain,La Liga,male,2008/2009,2020-07-29T05:00,2020-07-29T05:00
11,40,Spain,La Liga,male,2007/2008,2020-07-29T05:00,2020-07-29T05:00
11,39,Spain,La Liga,male,2006/2007,2020-07-29T05:00,2020-07-29T05:00
11,38,Spain,La Liga,male,2005/2006,2020-07-29T05:00,2020-07-29T05:00
11,37,Spain,La Liga,male,2004/2005,2020-07-29T05:00,2020-07-29T05:00
49,3,United States of America,NWSL,female,2018,2020-07-29T05:00,2020-07-29T05:00
2,44,England,Premier League,male,2003/2004,2020-08-31T20:40:28.969635,2020-08-31T20:40:28.969635
72,30,International,Women's World Cup,female,2019,2020-07-29T05:00,2020-07-29T05:00
