event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
shot,2f2e66d8-d578-4695-983d-f0a3aea85537,227,1,00:03:39.470,3,39,10,Barcelona,From Throw In,,Barcelona,Andrés Iniesta Luján,Left Center Midfield,1.3265,,0.03642358,,Left Foot,Open Play,Off T,Normal,,,,,,,104.0,47.7,120.0,31.4,0.4
shot,0c7550a2-34d3-48ee-9e9d-0b773f576883,409,1,00:07:11.399,7,11,17,Barcelona,Regular Play,,Barcelona,David Villa Sánchez,Left Wing,1.3038,,0.017266324,a2788757-3ef2-4d8d-ac3c-1fe7c587b379,Right Foot,Open Play,Off T,Normal,,,,,,,93.5,21.9,120.0,49.9,5.1
shot,0441a5c0-95d1-4711-8bba-51682c9ff9af,604,1,00:10:44.659,10,44,26,Barcelona,From Throw In,,Barcelona,Daniel Alves da Silva,Right Back,0.1239,,0.015409409,,Right Foot,Open Play,Blocked,Normal,,,,,,,98.1,58.1,100.1,56.6,
shot,0c439abd-0d40-44ef-bd91-1f635fef5f4e,719,1,00:13:22.149,13,22,31,Barcelona,From Throw In,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,0.6238,,0.13548702,b8a97483-7184-4557-b809-cb2e0e638182,Head,Open Play,Saved,Normal,,,,,,,113.1,36.2,119.3,37.1,0.4
shot,cf54dce3-cda0-4d98-ab4b-cca5667f224d,722,1,00:13:23.811,13,23,31,Barcelona,From Throw In,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,0.5343,,0.43306282,,Left Foot,Open Play,Off T,Half Volley,True,,,,,,116.3,37.6,120.0,37.8,5.3
shot,f0400a7a-58d4-4009-86d1-de9f8f210e52,745,1,00:15:11.474,15,11,34,Barcelona,From Free Kick,,Barcelona,David Villa Sánchez,Left Wing,0.3386,,0.028977122,,Right Foot,Free Kick,Blocked,Normal,,,,,,,88.7,37.8,98.9,37.6,
shot,b20f6b17-60f8-4a65-9e09-2f9c7dfb0e4d,952,1,00:19:56.310,19,56,41,Villarreal,From Free Kick,,Villarreal,Nilmar Honorato da Silva,Right Center Forward,0.1551,True,0.12280321,,Right Foot,Open Play,Blocked,Normal,,,,,,,110.0,33.1,112.1,34.2,
shot,64318d24-96c7-4262-8ea9-c779f3bf3123,1016,1,00:21:09.906,21,9,45,Barcelona,Regular Play,,Barcelona,David Villa Sánchez,Left Wing,0.762693,,0.2203678,956376e6-9919-4f3d-ac6b-9edeb61892fb,Right Foot,Open Play,Goal,Normal,,,,True,,,111.9,28.6,120.0,39.6,0.1
shot,c3f63f31-8a2c-41fd-aa22-5ee99aee183e,1272,1,00:25:51.633,25,51,57,Villarreal,From Free Kick,,Villarreal,Nilmar Honorato da Silva,Right Center Forward,1.000773,,0.2636036,dea8de35-c479-4984-a8bc-cd3af97de6fb,Left Foot,Open Play,Goal,Normal,,,,True,,,110.1,29.0,120.0,44.2,0.7
shot,396aad03-d74c-4841-b1ed-d8e0aa274898,1516,1,00:32:47.168,32,47,72,Villarreal,From Goal Kick,,Villarreal,Santiago Cazorla González,Right Midfield,0.0444,True,0.09132186,,Left Foot,Open Play,Blocked,Half Volley,True,,,,,,112.0,30.0,112.9,30.8,
shot,1247e77b-f4f5-434e-bb3f-136b3e599b51,1524,1,00:33:19.542,33,19,73,Villarreal,From Corner,,Villarreal,Giuseppe Rossi,Left Center Forward,0.405,,0.026177544,,Right Foot,Open Play,Blocked,Half Volley,True,,,,,,107.5,55.4,110.3,47.5,
shot,26c59515-92e5-48e0-b296-162e6189208b,1544,1,00:33:54.758,33,54,74,Villarreal,From Corner,,Villarreal,Rubén Gracia Calmache,Left Midfield,2.3835,,0.10283668,5642b746-9427-4e59-b504-cff58044d32c,Right Foot,Open Play,Off T,Volley,True,,,,,,109.2,31.3,120.0,38.9,6.5
shot,53a521e6-8c27-4d28-a882-97c34d2305b2,1577,1,00:36:04.423,36,4,77,Villarreal,From Free Kick,,Villarreal,Giuseppe Rossi,Left Center Forward,0.72,,0.16578105,,Left Foot,Free Kick,Saved,Normal,,,,,,,98.6,39.0,118.9,42.0,0.4
shot,e03ac75f-c026-48d4-bb27-c132e84bf424,1656,1,00:38:07.985,38,7,92,Barcelona,From Corner,,Barcelona,Carles Puyol i Saforcada,Right Center Back,0.9562,True,0.016855957,b35bebd7-c90b-45c6-a47c-ee328c15de0d,Head,Open Play,Off T,Normal,,,,,,,107.6,42.5,120.0,46.1,2.0
shot,71ae7078-dcfb-40fe-a9de-4b5c40b9d521,1784,1,00:42:11.730,42,11,101,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,1.1364,,0.06497787,,Left Foot,Free Kick,Off T,Normal,,,,,,,91.5,41.8,120.0,43.6,3.6
shot,6cbe9284-6ad7-4910-9337-1586f2328357,2033,2,00:01:04.219,46,4,118,Villarreal,From Corner,,Villarreal,Mateo Pablo Musacchio,Left Center Back,1.3391,True,0.12571675,84676d97-0550-409e-a9fb-64cd04f50248,Head,Open Play,Off T,Normal,,,,,,,113.7,43.0,120.0,25.3,2.7
shot,28fa7bc0-7a45-41ae-8715-769b5ebdab41,2286,2,00:06:09.439,51,9,126,Barcelona,From Free Kick,,Barcelona,Xavier Hernández Creus,Right Center Midfield,1.0962,,0.072176106,,Right Foot,Free Kick,Off T,Normal,,,,,,,96.8,51.2,120.0,43.9,3.8
shot,34b74427-f07f-4171-a234-51609587a505,2330,2,00:07:12.607,52,12,130,Barcelona,Regular Play,,Barcelona,David Villa Sánchez,Left Wing,2.06237,,0.02218969,5e0da11a-08cc-4ac5-b7ba-9218141c3715,Right Foot,Open Play,Off T,Volley,True,,,,,,104.6,24.4,120.0,48.5,7.5
shot,cb1d5ad3-2ff4-4ea0-82a8-548350c07c49,2628,2,00:12:49.950,57,49,142,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,1.0259,,0.19458663,b0ad28f0-6ca8-4965-8c6c-716a9c9d91b6,Right Foot,Open Play,Goal,Lob,True,,,,,,115.5,50.2,120.0,41.0,1.9
shot,c28fa13d-638d-4ee7-80f0-e493bfcd7d89,3095,2,00:23:49.706,68,49,159,Villarreal,From Free Kick,,Villarreal,Santiago Cazorla González,Right Midfield,0.1465,,0.10443357,cce394c3-0955-4706-9276-9675bade1f65,Right Foot,Open Play,Blocked,Normal,True,,,,,,99.7,42.2,103.7,42.4,
shot,40909454-6b0b-43e0-8733-148ecf7e2453,3727,2,00:37:45.376,82,45,188,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,0.7892,,0.6111607,,Left Foot,Open Play,Goal,Volley,True,,,,,,114.1,42.6,120.0,38.3,0.1
shot,7c85c3be-087b-44ec-8e84-5beee14b574e,3793,2,00:40:12.335,85,12,192,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,0.1982,,0.3758663,,Left Foot,Open Play,Blocked,Normal,,,,,,,106.5,44.6,111.0,43.7,
shot,6372ca02-c8f5-4d91-8098-3058c60606e7,3970,2,00:43:46.111,88,46,197,Villarreal,From Goal Kick,,Villarreal,Marco Gastón Ruben Rodríguez,Left Center Forward,1.1496,,0.05016381,b3062ce9-f0bc-4d2a-9877-1b468c41358e,Head,Open Play,Off T,Normal,,,,,,,106.7,39.0,120.0,48.8,5.4
