match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,last_updated,metadata,match_week,competition_stage,stadium,referee
266015,2012-12-22,18:00:00.000,11,24,901,217,1,3,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",17,"{'id': 1, 'name': 'Regular Season'}","{'id': 622, 'name': 'Estadio Municipal José Zorrilla', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 1008, 'name': 'Clos Gómez'}"
70270,2012-09-22,22:00:00.000,11,24,217,1049,2,0,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",5,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 223, 'name': 'Carlos Del Cerro', 'country': {'id': 112, 'name': 'Italy'}}"
70281,2013-05-05,21:00:00.000,11,24,217,218,4,2,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",34,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 1008, 'name': 'Clos Gómez'}"
70308,2012-11-03,18:00:00.000,11,24,217,209,3,1,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",10,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 222, 'name': 'David Fernández', 'country': {'id': 112, 'name': 'Italy'}}"
70282,2013-02-03,19:00:00.000,11,24,207,217,1,1,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",22,"{'id': 1, 'name': 'Regular Season'}","{'id': 344, 'name': 'Estadio de Mestalla', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 211, 'name': 'José González', 'country': {'id': 112, 'name': 'Italy'}}"
266724,2012-11-11,17:50:00.000,11,24,1043,217,2,4,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",11,"{'id': 1, 'name': 'Regular Season'}","{'id': 4454, 'name': 'Iberostar Estadi', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 218, 'name': 'Ignacio Iglesias', 'country': {'id': 112, 'name': 'Italy'}}"
70271,2013-02-23,22:00:00.000,11,24,217,213,2,1,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",25,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 407, 'name': 'Carlos Velasco Carballo', 'country': {'id': 214, 'name': 'Spain'}}"
70294,2013-02-16,20:00:00.000,11,24,1049,217,1,2,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",24,"{'id': 1, 'name': 'Regular Season'}","{'id': 4667, 'name': 'Estadio Nuevo Los Cármenes', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 223, 'name': 'Carlos Del Cerro', 'country': {'id': 112, 'name': 'Italy'}}"
70272,2013-03-02,16:00:00.000,11,24,220,217,2,1,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",26,"{'id': 1, 'name': 'Regular Season'}","{'id': 353, 'name': 'Estadio Santiago Bernabéu', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 1001, 'name': 'Miguel Pérez'}"
70262,2012-08-26,19:00:00.000,11,24,422,217,1,2,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",2,"{'id': 1, 'name': 'Regular Season'}","{'id': 4466, 'name': 'Estadio El Sadar', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 997, 'name': 'César Muñiz'}"
70304,2012-10-20,22:00:00.000,11,24,219,217,4,5,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",8,"{'id': 1, 'name': 'Regular Season'}","{'id': 4658, 'name': 'Estadio Abanca-Riazor', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 1013, 'name': 'José Paradas'}"
70280,2012-11-25,21:00:00.000,11,24,221,217,0,4,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",13,"{'id': 1, 'name': 'Regular Season'}","{'id': 350, 'name': 'Estadio Ciudad de Valencia', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 1015, 'name': 'Pedro Pérez'}"
70296,2012-12-16,21:00:00.000,11,24,217,212,4,1,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",16,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 1001, 'name': 'Miguel Pérez'}"
70297,2013-02-10,12:00:00.000,11,24,217,216,6,1,available,2020-07-29T05:00,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",23,"{'id': 1, 'name': 'Regular Season'}","{'id': 342, 'name': 'Camp Nou', 'country': {'id': 214, 'name': 'Spain'}}","{'id': 218, 'name': 'Ignacio Iglesias', 'country': {'id': 112, 'name': 'Italy'}}"
