Name/Date of birth,,Nat.,Appointed,End of time in post,Time in post,Matches,W,D,L,PPG
,Neil Warnock,,"Jun 23, 2020",-,10 months 28 days,57,23,10,24,1.39
,"Dec 1, 1948",,,,,,,,,
,Jonathan Woodgate,,"Jul 1, 2019","Jun 23, 2020",11 months 23 days,41,9,15,17,1.02
,"Jan 22, 1980",,,,,,,,,
,Tony Pulis,,"Dec 27, 2017","May 17, 2019",01 year 04 months 20 days,80,37,20,23,1.64
,"Jan 16, 1958",,,,,,,,,
,Craig Liddle,,"Dec 24, 2017","Dec 26, 2017",02 days,1,1,-,-,3
,"Oct 21, 1971",,,,,,,,,
,Garry Monk,,"Jul 1, 2017","Dec 23, 2017",05 months 22 days,26,12,5,9,1.58
,"Mar 6, 1979",,,,,,,,,
,Steve Agnew,,"Mar 16, 2017","Jun 8, 2017",02 months 23 days,11,1,3,7,0.55
,"Nov 9, 1965",,,,,,,,,
,Aitor Karanka,,"Nov 13, 2013","Mar 16, 2017",03 years 04 months 03 days,169,80,40,49,1.66
,"Sep 18, 1973",,,,,,,,,
,Mark Venus,,"Oct 22, 2013","Nov 12, 2013",21 days,3,1,1,1,1.33
,"Apr 6, 1967",,,,,,,,,
,Tony Mowbray,,"Oct 26, 2010","Oct 22, 2013",02 years 11 months 26 days,153,61,37,55,1.44
,"Nov 22, 1963",,,,,,,,,
,Steve Agnew,,"Oct 18, 2010","Oct 25, 2010",07 days,2,-,-,2,0
,"Nov 9, 1965",,,,,,,,,
,Mark Proctor,,"Oct 18, 2010","Oct 25, 2010",07 days,0,-,-,-,-
,"Jan 30, 1961",,,,,,,,,
,Gordon Strachan,,"Oct 26, 2009","Oct 17, 2010",11 months 21 days,46,13,13,20,1.13
,"Feb 9, 1957",,,,,,,,,
,Colin Cooper,,"Oct 22, 2009","Oct 25, 2009",03 days,1,-,1,-,1
,"Feb 28, 1967",,,,,,,,,
,Gareth Southgate,,"Jun 7, 2006","Oct 20, 2009",03 years 04 months 13 days,151,47,41,63,1.21
,"Sep 3, 1970",,,,,,,,,
,Steve McClaren,,"Jul 1, 2001","Jun 30, 2006",04 years 11 months 30 days,242,93,56,93,1.38
,"May 3, 1961",,,,,,,,,
,Bryan Robson,,"May 31, 1994","Jun 5, 2001",07 years 05 days,200,61,63,76,1.23
,"Jan 11, 1957",,,,,,,,,
,Lennie Lawrence,,"Jul 10, 1991","May 19, 1994",02 years 10 months 09 days,44,11,12,21,1.02
,"Dec 12, 1947",,,,,,,,,
,Colin Todd,,"Mar 9, 1990","Jun 24, 1991",01 year 03 months 15 days,2,1,-,1,1.5
,"Dec 12, 1948",,,,,,,,,
,Bruce Rioch,,"Feb 2, 1986","Mar 9, 1990",04 years 01 month 07 days,8,-,4,4,0.5
,"Sep 6, 1947",,,,,,,,,
,Malcolm Allison,,"Oct 23, 1982","Mar 28, 1984",01 year 05 months 05 days,0,-,-,-,-
,"Sep 5, 1927",,,,,,,,,
,Bobby Murdoch,,"Jul 1, 1981","Sep 29, 1982",01 year 02 months 29 days,7,-,3,4,0.43
,"Aug 17, 1944",,,,,,,,,
,John Neal,,"May 20, 1977","May 27, 1981",04 years 07 days,23,10,1,12,1.35
,"Apr 3, 1932",,,,,,,,,
,Jack Charlton,,"May 7, 1973","Apr 21, 1977",03 years 11 months 14 days,24,6,9,9,1.13
,"May 8, 1935",,,,,,,,,
,Stan Anderson,,"Apr 1, 1966","Jan 25, 1973",06 years 09 months 24 days,0,-,-,-,-
,"Feb 27, 1933",,,,,,,,,
,Raich Carter,,"Jan 1, 1963","Feb 1, 1966",03 years 01 month 00 days,0,-,-,-,-
,"Dec 21, 1913",,,,,,,,,
,Bob Dennison,,"Jul 1, 1954","Jan 1, 1963",08 years 06 months 01 day,0,-,-,-,-
,"Mar 6, 1912",,,,,,,,,
