Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
27,Albert Adomah,,Midfielder,36,7,6,,1,
29,Fernando Amorebieta,,Defender,11,2,,,5,
4,Daniel Ayala,,Defender/Centre back,34,1,3,,6,
8,Adam Clayton,,Midfielder,41,2,1,,13,
5,Ritchie De Laet,,Defender,9,1,,,,
10,Carlos De Pena,,Midfielder,3,3,,,3,
16,Julien De Sart,,Midfielder,0,2,,,,
19,Stewart Downing,,Midfielder,40,5,3,,1,
31,Diego Fabbrini,,Forward,14,8,4,,4,
34,Adam Forshaw,,Midfielder,9,20,2,,,
3,George Friend,,Defender/Midfielder,39,1,1,,2,
22,Dael Fry,,Defender,7,0,,,,
6,Ben Gibson,,Defender,32,1,1,,4,1
26,Tomas Kalas,,Defender,19,7,,,1,
9,Kike,,Forward,10,9,4,,1,
23,Kike Sola,,Forward,1,1,,,1,
1,Dimi Konstantopoulos,,Goalkeeper,46,0,-,-,,
7,Grant Leadbitter,,Midfielder,39,2,4,4,11,
24,Emilio Nsue,,Forward,37,3,3,,2,
35,David Nugent,,Forward,24,14,8,,3,1
11,Gaston Ramirez,,Midfielder,15,3,7,,1,
20,Adam Reach,,Defender/Midfielder,3,1,1,,,
9,Jordan Rhodes,,Forward,13,5,6,,1,
16,Jack Stephens,,Defender,0,1,,,,
18,Cristian Stuani,,Forward,20,16,7,,4,
30,Yanic Wildschut,,Forward,1,0,,,,
36,Bruno Zuculini,,Midfielder,3,2,,,,
