Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
9,Britt Assombalonga,,Forward,2,0,,,,
4,Daniel Ayala,,Defender/Centre back,1,0,,,,
11,Patrick Bamford,,Midfielder/Forward,0,2,,,,
27,Muhamed Beši?,,Midfielder,2,0,,,1,
8,Adam Clayton,,Midfielder,2,0,,,,
19,Stewart Downing,,Midfielder,2,0,,,,
2,Fábio Da Silva,,Defender/Midfielder,0,2,,,,
3,George Friend,,Defender/Midfielder,2,0,,,2,
20,Dael Fry,,Defender,1,0,,,,
39,Rudy Gestede,,Forward,0,1,,,,
6,Ben Gibson,,Defender,2,0,,,1,
16,Jonny Howson,,Midfielder,2,0,,,,
25,Darren Randolph,,Goalkeeper,2,0,-,-,,
5,Ryan Shotton,,Defender,2,0,,,,
37,Adama Traoré,,Midfielder/Forward,2,0,,,,
