Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
4,Daniel Ayala,,Defender/Centre back,2,0,,,1,1
20,Patrick Bamford,,Midfielder/Forward,1,0,,,,
17,Antonio Barragán,,Defender,1,0,,,1,
5,Bernardo,,Defender,4,0,,,,
25,Calum Chambers,,Defender/Midfielder,2,0,,,1,
8,Adam Clayton,,Midfielder,4,0,,,1,
14,Marten De Roon,,Midfielder,2,0,1,,2,
19,Stewart Downing,,Midfielder,2,1,1,,1,
2,Fábio Da Silva,,Defender/Midfielder,3,1,,,,
11,Viktor Fischer,,Midfielder/Forward,2,0,,,,
3,George Friend,,Defender/Midfielder,2,0,,,,
22,Dael Fry,,Defender,0,2,,,,
29,Rudy Gestede,,Forward,3,0,1,,,
6,Ben Gibson,,Defender,2,0,,,1,
12,Brad Guzan,,Goalkeeper,3,0,-,-,,
1,Dimi Konstantopoulos,,Goalkeeper,1,0,-,-,,
7,Grant Leadbitter,,Midfielder,4,0,2,1,3,
10,Álvaro Negredo,,Forward,1,2,1,,2,
21,Gastón Ramirez,,Midfielder,0,2,,,,
18,Cristhian Stuani,,Forward,2,2,1,,,
37,Adama Traoré,,Forward,3,1,,,1,
