,,,,,,,,,
Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
9,Britt Assombalonga,,Forward,0,1,,,,
4,Daniel Ayala,,Defender/Centre back,2,0,,,,
11,Patrick Bamford,,Midfielder/Forward,1,0,,,,
10,Martin Braithwaite,,Forward,2,0,1,,,
22,Cyrus Christie,,Defender,0,1,,,,
8,Adam Clayton,,Midfielder,1,1,,,1,
19,Stewart Downing,,Midfielder,1,1,,,,
18,Ashley Fletcher,,Forward,1,0,,,,
3,George Friend,,Defender/Midfielder,2,0,,,,
20,Dael Fry,,Defender,0,1,,,,
39,Rudy Gestede,,Forward,1,0,1,,,
6,Ben Gibson,,Defender,2,0,,,,
16,Jonny Howson,,Midfielder,2,0,,,,
21,Marvin Johnson,,Midfielder/Forward,0,1,,,,
7,Grant Leadbitter,,Midfielder,1,0,,,1,
25,Darren Randolph,,Goalkeeper,2,0,-,-,,
5,Ryan Shotton,,Defender,2,0,,,,
37,Adama Traoré,,Midfielder/Forward,2,0,,,1,
