Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
5,Bernardo,,Defender,1,0,,,,
42,Callum Cooke,,Midfielder,2,0,1,,,
43,Hayden Coulson,,Defender,0,1,,,,
16,Carlos De Pena,,Midfielder,1,0,,,,
44,Matthew Elsdon,,Defender,3,0,,,2,
2,Fábio Da Silva,,Defender/Midfielder,1,0,,,1,
46,Joe Fryer,,Goalkeeper,3,0,-,-,,
50,Callum Johnson,,Midfielder,3,0,,,,
51,Mark Kitching,,Defender/Midfielder,1,1,,,,
56,Lewis Maloney,,Midfielder,1,0,,,,
52,Thomas McAloon,,Forward,1,2,,,,
53,Niall McGoldrick,,Defender,2,0,,,,
57,Junior Mondal,,Midfielder/Forward,2,1,,,,
58,João Morelli,,Forward,3,0,,,,
59,Bryn Morris,,Defender/Midfielder,3,0,,,1,
61,Alex Pattison,,Midfielder,2,0,,,,
62,Marcus Tavernier,,Midfielder,2,0,1,,,
63,Robbie Tinkler,,Defender,2,0,,,,
64,Josef Wheatley,,Midfielder,0,1,,,,
