Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
10,Jeremie Aliadiere,,Forward,1,0,,,,
,,,,,,,,,
20,Julio Arca,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
27,Joe Bennett,,Defender/Left back,0,1,,,,
,,,,,,,,,
21,Danny Coyne,,Goalkeeper,1,0,-,-,,
,,,,,,,,,
11,Marvin Emnes,,Midfielder/Forward,1,0,,,,
,,,,,,,,,
2,Justin Hoyte,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
14,Robert Huth,,Defender,1,0,,,,
,,,,,,,,,
18,Adam Johnson,,Midfielder,1,0,1,,,
,,,,,,,,,
9,Leroy Lita,,Forward,0,1,,,,
,,,,,,,,,
29,Tony McMahon,,Defender/Right back,0,1,,,,
,,,,,,,,,
3,Andrew Taylor,,Defender,1,0,,,,
,,,,,,,,,
31,David Wheater,,Defender/Centre back,1,0,,,,
,,,,,,,,,
25,Rhys Williams,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
7,Mark Yeates,,Midfielder/Forward,1,0,,,,
