Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
27,Albert Adomah,,Midfielder,1,1,,,,
4,Daniel Ayala,,Defender/Centre back,11,3,1,,3,
20,Patrick Bamford,,Midfielder/Forward,2,6,1,,1,
17,Antonio Barragán,,Defender,26,0,,,5,
5,Bernardo,,Defender,10,1,,,2,
25,Calum Chambers,,Defender/Midfielder,24,0,1,,4,
8,Adam Clayton,,Midfielder,32,2,,,10,
14,Marten De Roon,,Midfielder,32,1,4,,8,
19,Stewart Downing,,Midfielder,24,6,1,,1,
2,Fábio Da Silva,,Defender/Midfielder,21,3,,,8,
11,Viktor Fischer,,Midfielder/Forward,6,7,,,,
34,Adam Forshaw,,Midfielder,30,4,,,4,
3,George Friend,,Defender/Midfielder,20,4,,,4,
29,Rudy Gestede,,Forward,4,12,1,,3,
6,Ben Gibson,,Defender,38,0,1,,4,
27,Adlène Guédioura,,Midfielder,0,5,,,,
12,Brad Guzan,,Goalkeeper,10,0,-,-,,
40,James Husband,,Defender,1,0,,,,
7,Grant Leadbitter,,Midfielder,7,6,1,,1,
10,Álvaro Negredo,,Forward,33,3,9,2,5,
24,Emilio Nsue,,Defender/Midfielder/Forward,4,0,,,,
35,David Nugent,,Forward,0,4,,,,
21,Gastón Ramirez,,Midfielder,20,4,2,,8,1
9,Jordan Rhodes,,Forward,2,4,,,,
18,Cristhian Stuani,,Forward,16,7,4,,4,
37,Adama Traoré,,Forward,16,11,,,1,
26,Victor Valdés,,Goalkeeper,28,0,-,-,1,
