R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,7.91,
2,,"Tomas Kalas 21, DR",2,3,4,0,1,7.49,
3,,"Ben Gibson 22, DC",0,3,3,1,0,7.11,
4,,"Daniel Ayala 24, DC",2,2,7,1,0,7.84,
5,,"George Friend 27, DL",2,4,2,1,1,7.44,
6,,"Grant Leadbitter 29, DMC",0,1,0,0,1,7.56,
7,,"Adam Clayton 26, DMC",4,1,1,1,2,7.28,
8,,"Lee Tomlin 26, AMR",0,0,0,0,2,8.2,  
9,,"Patrick Bamford (73?)21, AMC",0,0,1,0,3,6.32,
10,,"Albert Adomah 27, AML",1,1,0,0,0,7.27,
11,,"Kike (83?)25, FW",0,2,1,0,0,7.34,
12,,"Jelle Vossen (83?)25, Sub",0,0,0,0,0,6.13,
13,,"Adam Reach (73?)21, Sub",0,0,0,0,0,6.42,
14,,"Emmanuel Ledesma 26, Sub",0,0,0,0,0,-,
15,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,-,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,-,
17,,"James Husband 21, Sub",0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,-,
