R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,0,0,0,6.59,
2,Rhys Williams,DR,0,0,2,2,0,0,1,6.48,
3,Sebastian Hines88',DC,0,0,1,1,0,1,3,5.78,
4,Daniel Ayala,DC,1,0,9,9,0,1,0,7.65,
5,Ben Gibson,DL,0,0,10,10,0,0,1,6.7,
6,Albert Adomah,MR,0,0,0,0,0,0,0,7.08,
7,Grant Leadbitter,MC,1,0,2,2,0,0,1,7.8,
8,Richard Smallwood,MC,1,0,1,1,0,0,1,6.26,
9,Mustapha Carayol78',ML,0,0,1,1,0,1,0,6.29,
10,Kei Kamara,FW,0,0,0,0,0,0,2,7.15,
11,Marvin Emnes78',FW,0,0,0,0,0,0,0,6.26,
12,Brad Halliday78',Sub,0,0,0,0,0,0,0,6.09,
13,George Friend88',Sub,0,0,0,0,0,0,0,6.1,
14,Dean Whitehead,Sub,0,0,0,0,0,0,0,0,
15,Jacob Butterfield78',Sub,1,0,0,0,0,0,1,6.2,
16,Lukas Jutkiewicz,Sub,0,0,0,0,0,0,0,0,
17,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,
18,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,
