R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,0,0,0,7.36,
2,,"Emilio Nsue Lopez 25, DR",0,0,1,1,0,0,0,2,7.15,
3,,"Kenneth Omeruo 21, DC",0,0,0,0,3,0,0,0,7.31,
4,,"Ben Gibson 22, DC",0,0,0,0,0,0,1,0,7.06,
5,,"George Friend 27, DL",3,3,0,1,1,0,0,1,8.43,
6,,"Grant Leadbitter 29, DMC",2,1,2,1,1,0,0,0,8.39,
7,,"Adam Clayton 26, DMC",0,0,1,0,0,0,0,1,7.12,
8,,"Albert Adomah 27, AMR",3,1,0,0,0,1,2,1,7.29,
9,,"Lee Tomlin (73?)26, AMC",1,0,1,1,2,0,2,0,6.62,
10,,"Patrick Bamford (89?)21, AML",2,0,0,0,4,0,2,3,6.82,
11,,"Kike (67?)25, FW",2,1,1,1,1,0,1,2,6.69,
12,,"Rhys Williams (89?)26, Sub",0,0,0,0,0,0,0,0,6.18,
13,,"Jelle Vossen (67?)25, Sub",1,1,0,1,0,0,0,0,7.52,
14,,"Adam Reach (73?)21, Sub",0,0,0,0,0,0,0,0,6.3,
15,,"Yanic Wildschut 23, Sub",0,0,0,0,0,0,0,0,-,
16,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,0,0,-,
17,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,-,
