,,,,,,,,,,,,
R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Jason Steele78',GK,0,0,0,0,0,0,0,0,7.55,
2,Frazer Richardson,DR,0,0,0,2,0,0,0,0,7.03,
3,Jonathan Woodgate,DC,0,0,0,1,0,0,0,0,8.61,
4,Rhys Williams,DC,0,0,0,1,0,0,0,0,7.47,
5,George Friend,DL,0,0,0,1,2,2,1,0,7.97,
6,József Varga,DMC,1,1,2,1,2,1,0,0,7.64,
7,Dean Whitehead,DMC,1,0,1,0,1,2,0,0,7.51,
8,Albert Adomah,AMR,1,0,2,0,1,6,1,0,6.52,
9,Grant Leadbitter83',AMC,3,0,2,2,0,0,2,0,7.09,
10,Mustapha Carayol89',AML,4,0,1,2,1,5,1,0,6.69,
11,Lukas Jutkiewicz,FW,4,2,0,0,3,2,5,0,7.17,
12,Richard Smallwood83',Sub,0,0,1,0,0,0,0,0,6.07,
13,Curtis Main,Sub,0,0,0,0,0,0,0,0,0,
14,Stuart Parnaby,Sub,0,0,0,0,0,0,0,0,0,
15,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,
16,Jayson Leutwiler78',Sub,0,0,0,0,0,0,0,0,6.1,
17,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,
18,Marvin Emnes89',Sub,0,0,0,0,1,1,0,0,6.14,
