R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Shay Given,GK,0,0,0,0,1,0,0,0,7.09,
2,Rhys Williams,DR,2,1,0,0,1,1,1,0,7.07,
3,Jonathan Woodgate,DC,0,0,1,0,1,0,0,0,7.04,
4,Ben Gibson,DC,0,0,0,0,1,0,0,0,6.27,
5,George Friend89',DL,0,0,0,0,0,1,0,0,6.6,
6,Albert Adomah87',MR,1,1,1,1,0,2,0,0,6.86,
7,Jacob Butterfield45',MC,0,0,0,0,1,1,0,0,5.81,
8,Dean Whitehead,MC,1,1,3,0,1,0,1,0,7.92,
9,Richard Smallwood,MC,0,0,2,1,1,0,0,0,7.68,
10,Kei Kamara,ML,3,1,0,0,1,0,0,1,7.4,
11,Curtis Main,FW,0,0,0,0,2,0,3,0,5.17,
12,József Varga87',Sub,0,0,0,0,0,0,0,0,6.04,
13,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,
14,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,
15,Marvin Emnes,Sub,0,0,0,0,0,0,0,0,0,
16,Daniel Ayala89',Sub,0,0,0,0,0,0,0,0,6.06,
17,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,
18,Mustapha Carayol45',Sub,1,0,0,1,0,1,0,0,6.2,
