R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,26,38.5,0,0,26,10,0,0,6.33,
2,,"Dean Whitehead (59?)33, DR",0,30,83.3,0,0,4,2,0,0,6.76,
3,,"Jonathan Woodgate 35, DC",0,29,48.3,0,0,11,4,0,0,8.03,
4,,"Daniel Ayala (50?)24, DC",0,20,60,0,0,5,0,0,0,6.85,
5,,"Tomas Kalas 21, DL",1,49,53.1,1,0,15,2,0,0,7.44,
6,,"Adam Forshaw 23, DMC",1,46,71.7,0,0,8,3,0,0,6.97,
7,,"Adam Clayton 26, DMC",6,57,77.2,5,2,16,10,1,1,7.39,
8,,"Albert Adomah 27, AMR",0,30,56.7,10,2,8,3,0,0,7.54,
9,,"Jelle Vossen (80?)25, AMC",0,23,65.2,0,0,3,1,0,0,6.3,
10,,"Adam Reach 22, AML",1,43,67.4,2,0,16,6,0,0,6.25,
11,,"Kike 25, FW",1,22,68.2,0,0,2,2,0,0,7.53,
12,,"Ben Gibson (50?)22, Sub",0,20,25,0,0,12,2,0,0,5.72,
13,,"Grant Leadbitter (59?)29, Sub",2,15,60,1,1,3,1,0,0,7.05,
14,,"Lee Tomlin (80?)26, Sub",1,6,66.7,0,0,3,1,0,0,7.01,
15,,"Emmanuel Ledesma 26, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Tomás Mejías 26, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Patrick Bamford 21, Sub",0,0,0,0,0,0,0,0,0,-,
