,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,18,78,0,0,10,6,0,0,6.29,
2,Frazer Richardson7',DR,0,1,0,0,0,0,0,0,0,6.04,
3,Jonathan Woodgate,DC,0,39,85,0,0,5,4,0,0,6.9,
4,Rhys Williams,DC,1,62,84,0,0,9,7,1,1,7.05,
5,George Friend,DL,0,42,81,3,0,3,0,0,0,7.41,
6,Dean Whitehead,DMC,1,73,95,0,0,15,13,0,0,6.6,
7,Albert Adomah76',MR,2,25,72,3,0,3,2,0,0,7.24,
8,Grant Leadbitter,MC,4,76,84,7,1,13,7,0,0,7.5,
9,József Varga,MC,0,52,75,0,0,4,2,0,0,6.6,
10,Mustapha Carayol67',ML,0,23,83,5,0,0,0,0,0,6.58,
11,Lukas Jutkiewicz,FW,3,24,75,0,0,2,2,0,0,6.97,
12,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,0,
13,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,0,
14,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
15,Andrew Halliday76',Sub,0,6,50,2,0,2,0,0,0,5.85,
16,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,0,
17,Stuart Parnaby7',Sub,0,27,89,1,0,2,1,0,0,6.2,
18,Marvin Emnes67',Sub,0,10,90,0,0,0,0,0,0,6.3,
