R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,24,46,0,0,19,6,0,0,6.54,
2,Ryan Fredericks,DR,0,52,83,1,0,9,3,0,0,8.35,
3,Daniel Ayala,DC,0,60,82,0,0,14,6,0,0,7.36,
4,Ben Gibson,DC,1,62,81,0,0,12,2,0,0,7.18,
5,James Husband,DL,2,41,80,3,0,9,4,0,0,7.07,
6,Emmanuel Ledesma75',MR,2,23,78,3,2,5,3,0,0,6.93,
7,Grant Leadbitter,MC,3,70,89,6,4,9,8,0,0,7.29,
8,Adam Clayton29',MC,0,7,71,0,0,1,0,0,0,5.93,
9,Adam Reach,ML,1,38,66,8,2,4,1,0,0,6.35,
10,Lee Tomlin,FW,1,36,81,1,0,4,2,1,1,7.12,
11,Patrick Bamford,FW,1,16,69,1,0,0,0,0,0,6.27,
12,Kenneth Omeruo,Sub,0,0,0,0,0,0,0,0,0,undefined,
13,Bryn Morris,Sub,0,0,0,0,0,0,0,0,0,undefined,
14,George Friend,Sub,0,0,0,0,0,0,0,0,0,undefined,
15,Yanic Wildschut,Sub,0,0,0,0,0,0,0,0,0,undefined,
16,Jamal Blackman,Sub,0,0,0,0,0,0,0,0,0,undefined,
17,Emilio Nsue Lopez75',Sub,0,4,100,1,0,0,0,0,0,5.95,
18,Kike29',Sub,2,13,85,1,0,1,1,0,0,6.78,
