R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,0,42.9,1,34,7.11,
2,,"Ryan Fredericks 22, DR",0,0,1,78.1,1,48,7.34,
3,,"Daniel Ayala 23, DC",0,0,1,68,4,44,8.98,
4,,"Kenneth Omeruo 20, DC",0,0,0,85.7,2,36,7.42,
5,,"George Friend 26, DL",0,0,1,78.4,3,52,7.7,
6,,"Grant Leadbitter 28, DMC",1,0,2,78.4,1,67,7.63,
7,,"Adam Clayton 25, DMC",1,0,1,81.5,0,66,7.13,
8,,"Albert Adomah 26, AMR",3,1,1,66.7,0,49,7.8,
9,,"Lee Tomlin (66?)25, AMC",1,0,1,83.3,0,26,6.95,
10,,"Adam Reach (93?)21, AML",3,1,1,79.3,1,51,8.47,
11,,"Kike (82?)24, FW",2,1,1,76.7,1,41,7.63,
12,,"Dean Whitehead (82?)32, Sub",0,0,0,100,0,5,6.24,
13,,"Jelle Vossen (66?)25, Sub",3,2,1,88.9,1,17,6.68,
14,,"Emilio Nsue Lopez (93?)25, Sub",0,0,1,66.7,0,3,6.32,
15,,"Luke Williams 21, Sub",0,0,0,0,0,0,-,
16,,"Ben Gibson 21, Sub",0,0,0,0,0,0,-,
17,,"Yanic Wildschut 22, Sub",0,0,0,0,0,0,-,
18,,"Jamal Blackman 20, Sub",0,0,0,0,0,0,-,
