R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,71,0,36,7.59,
2,József Varga,DR,0,0,0,75,1,49,7.12,
3,Ben Gibson,DC,0,0,0,38,1,43,7.58,
4,Kenneth Omeruo,DC,0,0,0,47,2,54,7.42,
5,George Friend,DL,0,0,0,57,2,66,6.93,
6,Albert Adomah,MR,0,0,0,68,0,49,6.57,
7,Dean Whitehead,MC,0,0,1,76,2,52,7.07,
8,Grant Leadbitter76',MC,0,0,1,62,1,33,6.48,
9,Mustapha Carayol89',ML,1,0,1,0,0,30,6.27,
10,Lee Tomlin58',AMC,2,0,1,60,2,29,6.54,
11,Danny Graham,FW,2,1,0,71,1,28,6.16,
12,Jason Steele,Sub,0,0,0,0,0,0,0,
13,Curtis Main89',Sub,0,0,0,0,0,1,5.91,
14,Emmanuel Jorge Ledesma76',Sub,0,0,0,50,0,5,5.94,
15,Luke Williams,Sub,0,0,0,0,0,0,0,
16,Nathaniel Chalobah58',Sub,0,0,0,73,1,23,6.83,
17,David Atkinson,Sub,0,0,0,0,0,0,0,
18,Jacob Butterfield,Sub,0,0,0,0,0,0,0,
