R,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"George Friend32, D(CL),M(L)",188,83,5,416,2.6,2,0.6,0.2,2.4,1,0.4,-,6.72
2,,"Ravel Morrison27, M(C)",175,71,2,150,2.5,3,1,-,-,1,0.5,-,6.9
3,,"Marcus Tavernier21, AM(CLR)",0,0,24(5),2174,2.4,0.3,0.9,-,0.9,0.9,0.1,-,6.89
4,,"Hayden Coulson21, D(L),M(L)",0,0,18(5),1673,2.1,1,1.5,0.2,1.4,1.5,0.3,-,6.84
5,,"Ryan Shotton31, D(CR),M(R)",191,85,17,1530,2.1,1.5,0.6,0.4,3.9,0.4,1.1,-,6.92
6,,"Jonny Howson31, D(CR),M(CLR)",180,77,33,2945,2,1.6,1,0.1,2.5,0.8,0.4,1,6.91
7,,"Anfernee Dijksteel23, D(R),M(R)",183,72,9(3),801,1.6,0.7,1.2,0.2,1.5,0.7,0.4,-,6.38
8,,"Harold Moukoudi22, D(C)",191,74,7,630,1.6,0.9,1.1,1,3.9,0.1,0.1,1,6.51
9,,"Marc Bola22, D(L)",185,78,6(1),519,1.6,1.7,0.7,-,3.1,0.7,0.3,-,6.51
10,,"Marvin Johnson29, M(LR)",178,0,21(8),1874,1.5,0.7,1,-,0.9,0.8,-,-,6.76
11,,"Lewis Wing24, AM(C)",0,0,27(7),2508,1.5,0.8,0.8,-,1.1,1.6,0.2,-,6.79
12,,"George Saville26, D(L),M(CL)",176,73,23(6),1893,1.4,1,1.4,0.1,1.6,0.8,0.3,-,6.59
13,,"Adam Clayton31, M(C)",175,75,20(4),1660,1.3,0.8,1.1,-,1.6,1.4,0.2,1,6.42
14,,"Daniel Ayala29, D(C)",190,81,23(2),2081,1.2,1.2,1,0.4,5.9,0.2,0.6,-,6.92
15,,"Patrick McNair25, D(CR),DMC",183,72,30(2),2729,1.2,0.5,1,0.2,2,1.3,0.1,-,6.7
16,,"Djed Spence19, M(R)",0,0,11(3),909,1.1,0.9,0.7,0.1,1.4,0.4,0.2,-,6.62
17,,"Nathan Wood17, Defender",0,0,0(1),53,1,1,1,-,4,-,-,-,6.45
18,,"Dael Fry22, D(CR)",181,72,27,2376,1,0.9,0.5,0.4,5.2,0.3,0.7,-,6.78
19,,"Ashley Fletcher24, AM(CL),FW",185,78,30(4),2670,0.9,0.3,1.7,-,0.5,0.4,0.1,1,6.71
20,,"Marcus Browne22, AM(CL)",179,74,5(8),422,0.8,0.4,1.5,-,0.5,0.5,-,-,6.14
21,,"Lukas Nmecha21, AM(R),FW",185,80,3(5),352,0.4,0.6,0.4,-,0.3,0.1,-,-,6.27
22,,"Rudy Gestede31, FW",193,86,4(14),512,0.2,0.1,0.4,-,0.7,0.1,0.2,-,6.6
23,,"Britt Assombalonga27, FW",177,78,21(5),1924,0.1,0.1,1.6,-,0.8,0.2,0.1,-,6.55
24,,"Aynsley Pears22, GK",0,0,22,1980,-,0.1,-,-,0.9,-,-,-,6.65
25,,"Ben Liddle21, Midfielder",0,0,0(1),20,-,-,-,-,-,1,-,-,5.92
26,,"Darren Randolph32, GK",188,98,14,1260,-,-,-,-,0.7,-,-,-,6.54
27,,"Dejan Stojanovic26, GK",196,89,1,90,-,-,-,-,-,-,-,-,6.86
28,,"Patrick Roberts23, AM(CR)",168,58,3,195,-,-,-,-,-,-,-,-,6.82
29,,"Stephen Walker19, AM(R)",0,0,1(6),135,-,0.1,0.4,-,0.1,0.3,-,-,5.97
30,,"Tyrone O'Neill20, Forward",0,0,0(1),13,-,-,1,-,-,1,-,-,5.95
