Player,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Sam Morsy30, M(C)",175,70,3,242,2.7,0.7,1.7,-,0.3,0.7,-,-,6.19
2,,"Marcus Tavernier23, M(CLR)",0,0,43(1),3905,2.2,0.8,1,-,0.7,1,0.1,-,7
3,,"Matt Crooks28, M(C),FW",183,72,40,3494,2.1,0.9,1.8,0.1,1,0.9,0.2,-,7.06
4,,"Anfernee Dijksteel25, D(CR),M(R)",183,72,34,2967,2,1.1,0.6,0.2,1.5,0.6,0.5,-,6.77
5,,"Isaiah Jones22, M(LR)",0,0,36(6),3274,1.9,0.7,1,0.1,1,0.5,0.2,-,6.89
6,,"Patrick McNair27, D(CR),M(C)",183,72,42,3763,1.9,1.1,0.9,0.2,1.7,0.7,0.2,-,6.93
7,,"Jonny Howson33, D(CR),M(CLR)",180,77,44(1),3940,1.8,0.9,0.4,0.1,1.1,1,0.2,1,6.73
8,,"Djed Spence21, D(R),M(R)",0,0,2(1),211,1.7,1,1,-,0.7,0.7,-,-,6.64
9,,"Lee Peltier35, D(CLR),DMC,M(R)",178,73,17(4),1466,1.5,0.7,1,0.3,1.7,0.3,0.4,-,6.46
10,,"Sol Bamba37, D(C),DMC",190,90,18(6),1663,1.4,1.6,0.5,0.3,3.1,0.5,0.7,1,6.83
11,,"Grant Hall30, D(C),DMC",175,71,8,720,1.3,0.6,0.3,0.3,3.3,-,0.8,1,6.57
12,,"Marc Bola24, D(CL),M(L)",185,78,19(4),1760,1.2,1.3,0.8,0.1,0.8,0.4,0.4,-,6.68
13,,"Caolan Boyd-Munce22, Midfielder",0,0,0(1),21,1,-,1,-,-,-,-,-,6.43
14,,"Martín Payero23, AM(C)",183,80,6(7),564,1,0.2,1.3,-,0.2,0.5,0.2,-,6.47
15,,"Dael Fry24, D(CR)",181,72,32(1),2816,0.8,0.8,0.5,0.5,3.2,0.3,0.9,1,6.8
16,,"Riley McGree23, AM(C)",178,72,7(4),723,0.8,0.5,0.8,-,0.2,0.7,0.1,-,6.7
17,,"James Léa Siliki25, M(CL)",183,70,3(8),330,0.7,0.2,0.8,-,0.5,0.2,0.2,-,6.2
18,,"Neil Taylor33, D(L),M(L)",176,64,14,1110,0.7,1.1,0.9,0.2,0.9,0.6,0.1,-,6.44
19,,"Folarin Balogun20, FW",178,66,9(9),890,0.4,0.2,0.7,-,-,0.2,-,-,6.59
20,,"Onel Hernández29, M(CLR),FW",172,76,9(8),785,0.4,0.5,0.5,-,0.2,0.4,-,-,6.39
21,,"Toyosi Olusanya24, Forward",0,0,0(3),64,0.3,-,0.3,-,-,-,-,-,6.06
22,,"Andraz Sporar28, FW",186,82,28(7),2382,0.3,0.1,0.7,-,0.3,0.2,-,-,6.6
23,,"Duncan Watmore28, AM(LR),FW",175,72,22(19),1970,0.3,0.1,0.3,-,0.1,0.3,-,-,6.43
24,,"Josh Coburn19, Forward",0,0,3(15),471,0.2,0.1,0.6,-,0.4,0.1,0.1,-,6.3
25,,"Uche Ikpeazu27, FW",191,78,8(12),649,0.2,-,1.3,-,0.3,0.3,0.1,-,6.36
26,,"Aaron Connolly22, FW",0,0,13(6),1187,0.2,0.1,0.9,-,-,0.1,-,-,6.39
27,,"Joe Lumley27, GK",0,0,34,3060,0.1,-,-,-,1.3,-,-,1,6.44
28,,"Chuba Akpom26, FW",183,70,0(1),19,-,-,1,-,-,-,-,-,6.12
29,,"Luke Daniels34, GK",185,81,12,1080,-,-,0.1,-,1.7,-,-,1,6.54
30,,"William Kokolo21, M(L)",0,0,0(1),7,-,-,-,-,-,-,-,-,5.98
