Rank,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Luke Thomas22, D(L),M(L)",181,0,8(4),659,2,0.6,0.8,0.2,1,0.8,0.2,-,6.48
2,,"Lukas Engel25, D(L)",178,74,28(7),2477,1.9,1.5,0.4,0.2,1.8,1,0.3,-,6.81
3,,"Isaiah Jones24, M(LR)",181,0,31(4),2600,1.8,0.5,1.2,-,0.5,0.9,0.1,-,6.94
4,,"Lewis O'Brien25, D(L),M(CL)",173,74,18(5),1574,1.7,0.7,1,-,0.7,0.7,0.4,-,6.63
5,,"Hayden Hackney21, M(CL)",178,70,20(1),1812,1.7,0.4,1.6,-,0.3,1.5,0.2,-,6.64
6,,"Tommy Smith32, D(CR),M(R)",186,75,4(2),383,1.7,1.7,1.2,0.2,1.3,1,-,-,6.47
7,,"Luke Ayling32, D(CR),M(R)",185,72,19,1644,1.6,0.8,0.8,0.2,1.9,1.3,0.2,-,7.01
8,,"Jonny Howson36, D(CR),M(CLR)",180,76,35(3),3099,1.4,0.9,0.7,0.2,1.3,0.7,0.3,-,6.72
9,,"Rav van den Berg19, D(CR)",190,75,33(1),2895,1.3,1.2,0.7,0.6,3.2,0.5,0.4,-,6.73
10,,"Sam Greenwood22, AM(CL),FW",185,0,25(12),2205,1.3,0.2,1.9,-,0.4,0.8,0.1,-,6.51
11,,"Matt Clarke27, D(C)",185,83,19(5),1811,1.3,1.5,0.5,0.4,3.7,0.4,0.8,-,6.98
12,,"Matt Crooks30, M(C),FW",191,72,18(7),1537,1.2,0.4,1.2,-,0.4,0.6,0.1,-,6.67
13,,"Darragh Lenihan30, D(C),DMC",178,76,8,720,1.1,1,0.4,0.4,4,-,1.1,1,6.77
14,,"Morgan Rogers21, AM(CL),FW",0,0,14(12),1301,1.1,0.1,0.8,-,0.5,0.3,0.1,-,6.66
15,,"Hayden Coulson25, D(L),M(L)",177,70,2,150,1,2,-,-,1.5,1,-,-,6.47
16,,"Riley McGree25, AM(CLR)",178,78,14(8),1261,1,0.4,0.4,-,0.4,0.4,0.1,-,6.65
17,,"Daniel Barlaser27, DMC",184,62,26(7),2329,0.9,0.6,0.4,-,0.8,0.5,0.2,-,6.7
18,,"Finn Azaz23, AM(CL)",185,70,15(5),1362,0.9,0.4,0.5,-,0.3,0.7,0.1,-,6.8
19,,"Marcus Forss24, AM(R),FW",182,76,12(9),1117,0.8,0.3,0.9,-,0.2,0.3,-,-,6.57
20,,"Dael Fry26, D(CR)",190,72,28,2520,0.8,1.3,0.4,0.4,4.3,0.1,0.6,1,6.67
21,,"Emmanuel Latte Lath25, FW",177,75,23(7),2093,0.7,0.2,1.1,-,0.6,0.2,0.1,-,6.99
22,,"Paddy McNair29, D(CR),M(C)",183,72,20(1),1760,0.7,0.5,0.3,0.4,1.9,0.4,0.6,-,6.68
23,,"Alex Bangura24, D(L)",183,0,6(8),582,0.6,0.4,0.6,0.1,0.6,0.2,0.1,-,6.55
24,,"Alex Gilbert22, Forward",183,67,2(10),227,0.6,0.3,0.2,-,0.2,0.2,-,-,6.55
25,,"Anfernee Dijksteel27, D(CR),M(R)",183,72,8(12),739,0.5,0.7,0.5,-,0.7,0.4,0.3,-,6.24
26,,"Sam Silvera23, AM(LR)",173,75,12(25),1357,0.4,0.2,0.5,-,0.2,0.3,-,-,6.28
27,,"Law McCabe17, Midfielder",0,0,1(2),102,0.3,0.7,0.7,-,-,0.7,-,-,6.23
28,,"Josh Coburn21, FW",0,0,11(10),993,0.3,-,0.9,-,0.4,0.2,-,-,6.48
29,,"Seny Dieng29, GK",193,90,35,3150,0.1,-,-,-,0.8,0.1,-,-,6.55
30,,"Ajay Matthews17, Midfielder",0,0,0(2),11,-,-,-,-,0.5,-,-,-,6.02
31,,"Calum Kavanagh20, AM(C),FW",0,0,0(2),6,-,-,-,-,-,-,-,-,5.98
32,,"Charlie Lennon18, Forward",0,0,0(1),16,-,-,-,-,-,-,-,-,5.84
33,,"James Wilson0, Midfielder",0,0,0(1),1,-,-,-,-,-,-,-,-,6
34,,"Sonny Finch18, Forward",0,0,0(1),8,-,-,1,-,-,-,-,-,6
35,,"Tom Glover26, GK",190,90,11(1),991,-,-,-,-,0.9,0.3,-,-,6.55
