R,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Ryan Fredericks22, D(R)",190,80,16(1),1337,3.6,1.4,0.6,0.2,2.4,0.5,0.1,-,7.09
2,,"Emmanuel Ledesma27, AM(LR)",180,77,1,75,3,1,2,-,-,4,-,-,6.84
3,,"Adam Clayton26, M(C)",175,75,40(4),3474,2.8,1.9,1.5,-,0.7,1.1,0.3,-,7.05
4,,"Albert Adomah27, AM(LR)",185,73,43(3),3744,2.5,0.8,1.2,-,0.4,0.8,-,-,7.02
5,,"Milos Veljkovic19, D",173,69,1(2),145,2.3,1,0.3,-,1,1.3,-,-,6.55
6,,"Seb Hines26, D(C)",188,83,3,256,2.3,2.7,1.3,-,2.7,0.3,-,-,6.74
7,,"Grant Leadbitter29, DM(C)",174,68,43(3),3888,2.2,1.5,0.9,-,0.8,1.1,0.2,-,7.38
8,,"George Friend27, D(L)",188,83,45,4025,2.1,1.8,1,0.1,3,0.4,0.3,-,7.21
9,,"James Husband21, D(L)",180,65,2(1),181,2,1.7,1,-,1,1.3,0.3,-,6.43
10,,"Kenneth Omeruo21, D(C)",168,67,17(2),1565,2,1.9,1.1,0.3,6.1,0.2,0.3,-,7.03
11,,"Tomas Kalas22, D(CR)",182,73,16(1),1467,1.8,3.4,0.6,0.2,5.4,0.6,0.1,-,7.31
12,,"Dean Whitehead33, D(R),DM(C),M(R)",180,77,14(7),1192,1.6,0.9,1,-,1.6,0.3,0.3,-,6.48
13,,"Dwight Tiendalli29, D(LR)",180,69,2,122,1.5,1,0.5,-,2,2,-,-,6.49
14,,"Daniel Ayala24, D(C)",190,81,32(1),2760,1.5,2.7,1.1,0.3,6.9,0.3,0.5,-,7.43
15,,"Adam Reach22, AM(L)",185,73,27(13),2519,1.3,0.7,0.7,-,0.4,0.3,-,-,6.75
16,,"Jonathan Woodgate35, D(CR)",188,80,5(3),509,1.3,2.3,0.5,0.5,6.3,0.1,0.4,-,7.19
17,,"Damiá33, D(LR),M(R)",188,79,6,470,1,1.5,1.3,0.2,2,0.3,0.5,-,6.55
18,,"Rhys Williams26, D(CR)",187,72,0(1),1,1,-,-,-,-,-,-,-,6
19,,"Lee Tomlin26, AM(C),FW",180,74,35(10),3120,0.9,0.5,1.4,-,0.3,0.7,-,-,6.88
20,,"Adam Forshaw23, M(C)",185,71,6(14),718,0.9,0.8,0.6,-,0.4,0.3,0.1,-,6.5
21,,"Jelle Vossen26, AM(C),FW",180,70,23(13),1925,0.8,0.3,1.4,-,0.1,0.3,-,-,6.65
22,,"Ben Gibson22, D(CL)",185,78,36(3),3218,0.6,1.7,0.4,0.4,4.6,0.2,0.8,1,6.79
23,,"Fernando Amorebieta30, D(CL)",192,85,2(3),208,0.6,2.2,1,-,4.8,-,0.6,-,7.14
24,,"Emilio Nsue Lopez25, D(R),M(CLR),FW",182,75,12(15),1230,0.5,0.9,0.4,-,1.3,0.3,-,-,6.44
25,,"Yanic Wildschut23, AM(L)",187,86,3(8),288,0.5,0.3,0.6,-,0.3,0.7,0.1,-,6.43
26,,"Patrick Bamford21, AM(CLR),FW",185,71,34(6),3005,0.4,0.4,1.6,-,0.7,0.6,0.1,-,6.82
27,,"Kike25, FW",186,79,26(19),2550,0.4,0.2,0.9,-,0.6,0.2,-,-,6.59
28,,"Dimitrios Konstantopoulos36, GK",193,90,43,3823,-,-,-,-,0.6,-,-,-,6.75
29,,"Luke Williams21, FW",185,74,0(4),46,-,-,-,-,-,-,-,-,6.15
30,,"Tomás Mejías26, GK",195,84,6(1),586,-,-,-,-,1.3,-,-,-,6.26
