Rank,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Matt Clarke26, D(C)",185,83,6,462,2.5,1.5,1,0.7,3,0.8,0.3,-,6.82
2,,"Hayden Hackney20, M(C)",0,0,34(2),2930,2,0.8,1.7,-,0.4,1.1,0.1,-,6.8
3,,"Tommy Smith31, D(CR),M(R)",186,75,33(5),2953,1.8,1.1,1,0.2,1.5,0.7,0.3,-,6.61
4,,"Jonny Howson35, D(CR),M(CLR)",180,77,43(1),3711,1.5,1,0.6,0.1,0.8,0.7,0.2,1,6.66
5,,"Isaiah Jones23, M(LR)",0,0,25(11),2460,1.4,0.6,1,-,0.6,0.7,0.1,-,6.68
6,,"Paddy McNair28, D(CR),M(C)",183,72,28(4),2426,1.3,0.8,0.6,0.5,2.1,0.6,0.6,-,6.56
7,,"Ryan Giles23, D(L),M(LR)",179,0,45(2),4020,1.3,0.7,0.3,0.1,1.2,0.3,0.1,1,6.81
8,,"Aaron Ramsey20, AM(CL)",0,0,8(3),671,1.1,0.5,0.5,-,0.1,0.4,-,-,7.16
9,,"Matt Crooks29, M(C),FW",183,72,18(21),1802,1.1,0.3,0.8,-,0.3,0.3,0.1,-,6.58
10,,"Anfernee Dijksteel26, D(CR),M(R)",183,72,10(11),970,1,0.4,0.4,0.1,1.1,0.2,0.1,-,6.33
11,,"Dael Fry25, D(CR)",181,72,26(4),2289,1,1.5,0.5,1,3.5,0.1,0.5,-,6.83
12,,"Darragh Lenihan29, D(C),DMC",178,76,42(1),3766,1,1,0.5,0.6,3.5,0.3,0.9,-,6.93
13,,"Daniel Barlaser26, DMC",184,62,3(9),427,0.9,0.2,0.3,-,0.3,0.3,0.1,-,6.38
14,,"Riley McGree24, AM(CLR)",178,72,37(8),3210,0.8,0.5,0.9,-,0.4,0.7,0.1,-,6.73
15,,"Chuba Akpom27, AM(C),FW",183,70,37(3),3301,0.7,0.2,0.9,-,0.4,0.2,0.2,-,7.22
16,,"Alex Mowatt28, M(CLR)",170,71,13(17),1296,0.7,0.3,0.4,-,0.4,0.5,0.1,-,6.37
17,,"Marcus Forss23, AM(R),FW",182,76,25(15),2062,0.7,0.1,0.9,-,0.3,0.4,-,-,6.56
18,,"Rodrigo Muniz22, FW",178,67,9(8),893,0.5,0.2,0.9,-,0.6,0.2,-,-,6.47
19,,"Matthew Hoppe22, FW",191,80,0(6),65,0.5,-,0.7,-,-,0.7,-,-,6.13
20,,"Marc Bola25, D(CL),M(L)",185,78,9(16),1010,0.4,0.7,0.6,0.1,1.4,0.2,0.3,-,6.35
21,,"Cameron Archer21, FW",171,72,19(3),1552,0.3,-,0.9,-,0.1,0.3,-,-,7.08
22,,"Duncan Watmore29, AM(CLR),FW",175,72,10(11),848,0.1,-,0.5,-,0.1,0.3,-,-,6.49
23,,"Zack Steffen28, GK",191,86,44,3960,0.1,-,-,-,1,-,-,-,6.63
24,,"Caolan Boyd-Munce23, Midfielder",0,0,0(1),1,-,-,-,-,-,-,-,-,6
25,,"Darnell Fisher29, D(LR),M(R)",175,80,0(1),1,-,-,-,-,-,-,-,-,6
26,,"Josh Coburn20, FW",0,0,0(1),27,-,-,-,-,-,-,-,-,5.91
27,,"Liam Roberts28, GK",183,82,4,360,-,-,-,-,0.8,-,-,-,6.36
28,,"Pharrell Willis20, Forward",0,0,0(1),7,-,-,-,-,-,-,-,-,6.13
29,,"Sonny Finch17, Forward",0,0,0(3),5,-,-,-,-,-,-,-,-,6
