Rank,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Hayden Hackney20, M(C)",0,0,1,90,6,1,3,-,-,1,-,-,7.09
2,,"Dael Fry25, D(CR)",181,72,1,90,2,1,1,-,5,-,1,-,7.55
3,,"Tommy Smith31, D(CR),M(R)",186,75,1,90,2,3,-,-,-,-,-,-,6.53
4,,"Anfernee Dijksteel26, D(CR),M(R)",183,72,1,90,1,1,1,2,1,-,-,-,6.07
5,,"Bryant Bilongo21, Defender",0,0,0(1),31,1,1,-,-,2,-,-,-,6.67
6,,"Caolan Boyd-Munce23, Midfielder",0,0,1,90,1,1,-,-,1,1,-,-,6.37
7,,"Daniel Dodds22, D(C)",0,0,0(1),16,1,-,-,-,-,-,-,-,6.33
8,,"Isaac Fletcher20, Midfielder",0,0,0(1),13,1,1,-,-,-,-,-,-,6.51
9,,"Joseph Gibson21, Midfielder",0,0,1,77,1,-,1,-,1,-,-,-,6.56
10,,"Marc Bola25, D(CL),M(L)",185,78,1,74,1,-,-,-,-,-,-,-,6.32
11,,"Patrick McNair28, D(CR),M(C)",183,72,1,59,1,1,2,-,-,-,-,-,6.7
12,,"Sonny Finch17, Forward",0,0,1,60,1,-,1,-,-,-,-,-,6.36
13,,"Chuba Akpom27, AM(C),FW",183,70,0(1),31,-,-,1,-,2,-,-,-,6.21
14,,"Duncan Watmore29, AM(CLR),FW",175,72,1,60,-,-,-,-,-,-,-,-,5.67
15,,"Liam Roberts28, GK",183,82,1,90,-,-,-,-,-,-,-,-,5.62
16,,"Marcus Forss23, AM(R),FW",182,76,0(1),31,-,-,1,-,-,-,-,-,5.88
