R,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Antonio Barragán29, D(R),M(R)",186,83,26,2196,2.8,2.3,1,0.3,2.7,0.9,0.5,-,6.94
2,,"Fabio26, D(LR)",172,65,21(3),1849,2.6,1.5,1.2,0.3,2.8,0.7,0.3,-,6.83
3,,"George Friend29, D(L)",188,83,20(4),1960,2.6,2.3,1.2,0.4,3.3,0.9,0.5,-,6.99
4,,"Albert Adomah29, AM(LR)",185,73,1(1),121,2.5,0.5,1.5,-,-,2,-,-,6.27
5,,"Adam Clayton28, M(C)",175,75,32(2),2806,2.3,1.9,1.5,-,1.2,1.7,0.6,-,6.8
6,,"Marten de Roon26, DMC",185,76,32(1),2777,2.2,1.3,2,-,1.9,2.2,0.3,-,6.62
7,,"Bernardo27, D(C)",192,84,10(1),975,2,1.5,1.5,0.7,6.2,1.1,0.6,-,6.83
8,,"Calum Chambers22, D(CR)",182,66,24,2160,2,2.1,1,0.6,7.3,0.8,1,-,7.05
9,,"Gastón Ramírez26, AM(CLR)",183,77,20(4),1550,1.9,0.6,1.5,-,0.5,2.1,0.1,-,6.84
10,,"Adam Forshaw25, M(C)",185,71,30(4),2700,1.8,1,1,-,0.6,1.5,0.1,-,6.61
11,,"Cristhian Stuani30, AM(CLR),FW",186,77,16(7),1362,1.5,0.4,0.9,-,0.6,1.1,0.1,-,6.61
12,,"Patrick Bamford23, AM(CLR),FW",185,71,2(6),281,1.1,0.5,1.1,-,0.4,0.6,-,-,6.28
13,,"Adama Traoré21, AM(R)",178,72,16(11),1537,1.1,0.2,0.7,-,0.2,0.4,0.1,-,7.03
14,,"Grant Leadbitter31, DMC",177,79,7(6),708,1.1,0.8,0.6,-,0.5,1.2,0.1,-,6.4
15,,"Adlène Guédioura31, M(C)",186,81,0(5),136,1,0.6,0.4,-,0.4,0.2,-,-,6.41
16,,"Stewart Downing32, D(L),M(CLR)",180,64,24(6),2212,0.9,1,0.3,-,1.1,0.3,-,-,6.57
17,,"Ben Gibson24, D(CL)",185,78,38,3420,0.8,1.5,0.5,0.6,6.2,0.2,0.8,-,6.82
18,,"Daniel Ayala26, D(C)",190,81,11(3),917,0.8,1.9,1.1,0.9,4.9,0.7,0.4,-,6.76
19,,"Nsue27, D(R),M(R),FW",182,75,4,322,0.8,1.5,1,0.3,4.3,0.3,0.3,-,6.62
20,,"Álvaro Negredo31, FW",186,86,33(3),2880,0.5,0.3,1.3,-,1.8,0.5,0.1,-,6.91
21,,"Rudy Gestede28, FW",193,86,4(12),525,0.4,0.1,0.5,-,0.6,0.2,0.1,-,6.57
22,,"David Nugent32, M(C),FW",180,76,0(4),40,0.3,-,0.5,-,-,-,-,-,6.03
23,,"Viktor Fischer22, AM(L),FW",180,81,6(7),439,0.2,-,0.1,-,0.1,0.2,-,-,6.37
24,,"Jordan Rhodes27, FW",185,71,2(4),208,0.2,-,0.5,-,0.3,0.5,0.3,-,6.24
25,,"Víctor Valdés35, GK",183,78,28,2520,-,0.1,-,-,1,-,-,-,6.66
26,,"Brad Guzan32, GK",193,94,10,900,-,0.1,0.1,-,0.6,-,-,-,6.47
27,,"James Husband23, D(L)",179,65,1,59,-,-,-,-,1,-,-,-,5.8
