R,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
9,,"Daniel Ayala25, D(CL)",190,81,34(1),3011,3,1,0.9,0.1,0.1,0.6,0.2,0.2,0.5,7.43
3,,"Gastón Ramírez25, AM(CLR),FW",183,77,15(3),1295,7,1,2.2,2.2,1.6,1.9,0.1,2.3,2.7,7.35
16,,"George Friend28, D(L)",188,83,39(1),3427,1,2,0.6,0.7,1.4,1,0.3,0.7,1,7.29
4,,"Albert Adomah28, AM(LR)",185,73,36(7),3234,6,5,1.9,1.5,1.5,0.7,0.3,1,1.7,7.2
13,,"Adam Clayton27, M(C)",175,75,41(2),3700,1,1,0.7,0.7,0.4,1.2,-,0.5,0.6,7.16
8,,"Grant Leadbitter30, DMC",174,68,39(2),3449,4,3,1.3,1.4,0.3,0.4,-,0.4,0.3,7.08
19,,"Dael Fry18, D(C)",0,0,7,630,-,-,0.4,0.1,0.3,0.6,-,0.1,0.1,7.07
10,,"Nsue26, D(R),M(CLR),FW",182,75,37(3),3282,3,2,0.6,0.9,0.4,0.7,0.1,0.7,1.1,7.02
25,,"Ritchie de Laet27, D(LR)",186,77,9(1),846,-,1,0.9,0.6,0.6,1,0.2,0.4,0.4,7
15,,"Ben Gibson23, D(CL)",185,78,32(1),2840,1,-,0.2,0.1,0.2,0.3,-,0.1,0.1,6.94
17,,"Bruno Zuculini23, DMC",182,74,3(2),301,-,-,0.4,0.6,0.8,0.8,-,0.8,0.2,6.9
26,,"Tomas Kalas23, D(CR)",182,73,19(7),1790,-,-,0.2,0.2,0.5,0.8,-,0.3,0.4,6.9
20,,"Dimitrios Konstantopoulos37, GK",193,90,46,4140,-,-,-,-,-,-,-,-,-,6.84
11,,"Stewart Downing31, D(C),M(CLR),FW",180,64,40(5),3570,3,5,1.6,1.6,0.3,0.5,0.1,0.7,0.8,6.83
5,,"Jordan Rhodes26, FW",185,71,13(5),1162,6,2,2.9,0.7,0.1,1.3,0.6,0.4,1.4,6.81
22,,"Fernando Amorebieta31, D(CL),DMC",192,85,11(2),1032,-,1,0.5,0.2,0.3,0.8,-,0.5,0.1,6.78
6,,"Diego Fabbrini25, AM(C),FW",181,66,14(8),1261,4,2,1.3,1.1,0.9,3,-,2.4,1.4,6.71
2,,"Cristhian Stuani29, AM(CLR),FW",186,77,20(16),1869,7,1,1.4,0.4,0.5,0.8,0.2,0.9,1.2,6.7
1,,"David Nugent31, M(CL),FW",180,76,24(14),2266,8,7,1.6,1,0.2,0.8,0.7,0.8,1.4,6.69
27,,"Yanic Wildschut24, AM(L)",187,86,1,46,-,-,1,-,2,-,-,-,1,6.62
14,,"Adam Reach23, D(L),M(LR),FW",185,73,3(1),227,1,-,1,0.5,-,0.8,0.3,1,1,6.59
12,,"Adam Forshaw24, M(C)",185,71,9(20),1028,2,2,0.7,0.5,0.1,0.4,-,0.6,0.3,6.53
7,,"Kike26, FW",186,79,10(9),840,4,1,1.1,0.4,0.1,0.5,0.3,1,1.4,6.43
18,,"Carlos De Pena24, Midfielder",177,74,3(3),242,-,-,1.3,0.5,0.3,0.3,0.2,-,0.3,6.39
24,,"Julien de Sart21, Midfielder",182,68,0(2),3,-,-,-,-,-,-,-,-,0.5,6.1
23,,"Jack Stephens22, Defender",185,75,0(1),11,-,-,-,-,-,-,-,-,-,6.04
21,,"Kike Sola30, AM(L),FW",185,82,1(1),51,-,-,0.5,-,-,-,-,-,-,6.02
