Player,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
1,,"Matt Crooks28, M(C),FW",183,72,40,3494,10,2,1.2,1.1,0.6,0.8,0.2,0.7,1.4,7.06
2,,"Andraz Sporar28, FW",186,82,28(7),2382,8,2,2.1,0.5,0.5,0.9,0.4,0.8,1.5,6.6
3,,"Duncan Watmore28, AM(LR),FW",175,72,22(19),1970,7,3,1,0.6,0.6,0.5,0.2,0.7,1.7,6.43
4,,"Marcus Tavernier23, M(CLR)",0,0,43(1),3905,5,5,2,1.5,1.2,1.3,-,1.4,2.4,7
5,,"Patrick McNair27, D(CR),M(C)",183,72,42,3763,5,3,0.8,0.7,0.4,1.7,-,0.5,1,6.93
6,,"Josh Coburn19, Forward",0,0,3(15),471,4,-,0.7,0.2,0.1,0.4,0.2,0.3,0.7,6.3
7,,"Folarin Balogun20, FW",178,66,9(9),890,3,3,1.4,0.5,0.5,0.7,0.2,1.4,2.1,6.59
8,,"Aaron Connolly22, FW",0,0,13(6),1187,2,-,2.2,0.4,0.5,1.7,0.4,0.9,2.3,6.39
9,,"Riley McGree23, AM(C)",178,72,7(4),723,2,-,1.3,0.9,1,0.7,-,1.3,1.6,6.7
10,,"Uche Ikpeazu27, FW",191,78,8(12),649,2,1,1.2,0.4,0.5,1.3,0.2,1,2.6,6.36
11,,"Dael Fry24, D(CR)",181,72,32(1),2816,1,2,0.2,0.2,0.1,0.8,0.1,0.1,0.3,6.8
12,,"Isaiah Jones22, M(LR)",0,0,36(6),3274,1,8,0.6,1.1,1.4,2.3,0.1,0.8,2.7,6.89
13,,"Jonny Howson33, D(CR),M(CLR)",180,77,44(1),3940,1,4,0.5,1,0.5,0.8,-,0.4,0.6,6.73
14,,"Marc Bola24, D(CL),M(L)",185,78,19(4),1760,1,1,0.7,1,0.6,0.3,-,0.4,0.8,6.68
15,,"Martín Payero23, AM(C)",183,80,6(7),564,1,1,1.2,0.3,0.8,0.6,-,0.4,1.9,6.47
16,,"Onel Hernández29, M(CLR),FW",172,76,9(8),785,1,-,1.1,0.9,0.8,0.5,0.6,1,1.5,6.39
17,,"Anfernee Dijksteel25, D(CR),M(R)",183,72,34,2967,-,3,0.2,0.6,1,1.5,0.1,0.7,1.3,6.77
18,,"Caolan Boyd-Munce22, Midfielder",0,0,0(1),21,-,-,-,1,-,-,-,-,-,6.43
19,,"Chuba Akpom26, FW",183,70,0(1),19,-,-,-,-,-,-,-,-,-,6.12
20,,"Djed Spence21, D(R),M(R)",0,0,2(1),211,-,-,1,0.3,0.7,0.7,-,1.7,1,6.64
21,,"Grant Hall30, D(C),DMC",175,71,8,720,-,-,0.4,0.1,-,0.1,0.1,0.1,0.4,6.57
22,,"James Léa Siliki25, M(CL)",183,70,3(8),330,-,-,0.5,0.5,0.4,0.3,-,0.3,0.7,6.2
23,,"Joe Lumley27, GK",0,0,34,3060,-,-,0.1,-,-,0.1,-,-,-,6.44
24,,"Lee Peltier35, D(CLR),DMC,M(R)",178,73,17(4),1466,-,-,0.1,0.1,0.2,0.4,-,0.5,0.3,6.46
25,,"Luke Daniels34, GK",185,81,12,1080,-,-,-,-,-,0.1,-,-,0.1,6.54
26,,"Neil Taylor33, D(L),M(L)",176,64,14,1110,-,-,0.3,0.4,0.5,0.4,0.1,0.4,0.9,6.44
27,,"Sam Morsy30, M(C)",175,70,3,242,-,-,1,0.3,0.3,-,-,0.3,0.7,6.19
28,,"Sol Bamba37, D(C),DMC",190,90,18(6),1663,-,1,0.4,0.2,0.2,0.8,-,0.1,0.3,6.83
29,,"Toyosi Olusanya24, Forward",0,0,0(3),64,-,-,-,-,0.3,0.7,-,1,0.7,6.06
30,,"William Kokolo21, M(L)",0,0,0(1),7,-,-,-,-,-,-,-,-,-,5.98
