Rank,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
1,,"Emmanuel Latte Lath25, FW",177,75,23(7),2093,16,1,2.4,0.5,0.7,0.8,0.5,1.1,1.8,6.99
2,,"Isaiah Jones24, M(LR)",181,0,31(4),2600,8,4,1.4,1.1,1.3,1.5,0.5,0.7,1.6,6.94
3,,"Marcus Forss24, AM(R),FW",182,76,12(9),1117,7,2,1.7,0.6,0.4,0.2,0.3,0.7,1.8,6.57
4,,"Josh Coburn21, FW",0,0,11(10),993,5,1,1.1,0.4,0.1,0.9,0.7,1.1,1.2,6.48
5,,"Sam Greenwood22, AM(CL),FW",185,0,25(12),2205,5,3,1.9,0.6,0.3,1,0.4,1.5,1.4,6.51
6,,"Finn Azaz23, AM(CL)",185,70,15(5),1362,4,5,1.7,1.5,1,0.7,0.1,1.2,2.1,6.8
7,,"Riley McGree25, AM(CLR)",178,78,14(8),1261,4,1,1.5,0.8,0.9,0.5,0.1,1,1.9,6.65
8,,"Sam Silvera23, AM(LR)",173,75,12(25),1357,4,2,1.2,0.5,0.5,0.6,0.3,1.1,0.9,6.28
9,,"Matt Crooks30, M(C),FW",191,72,18(7),1537,3,6,1.3,0.9,0.5,0.4,0.3,0.9,1,6.67
10,,"Alex Bangura24, D(L)",183,0,6(8),582,2,1,0.3,0.2,1.3,1.3,-,0.5,0.7,6.55
11,,"Jonny Howson36, D(CR),M(CLR)",180,76,35(3),3099,2,2,0.7,1.5,0.5,0.6,-,0.6,0.8,6.72
12,,"Lukas Engel25, D(L)",178,74,28(7),2477,2,4,0.5,0.8,0.4,0.4,0.1,0.2,0.9,6.81
13,,"Morgan Rogers21, AM(CL),FW",0,0,14(12),1301,2,6,1.2,1.4,1,0.7,0.2,1.4,1.9,6.66
14,,"Alex Gilbert22, Forward",183,67,2(10),227,1,3,0.3,0.3,0.3,-,-,0.2,0.5,6.55
15,,"Darragh Lenihan30, D(C),DMC",178,76,8,720,1,-,0.9,0.6,-,1.1,-,0.1,0.1,6.77
16,,"Hayden Hackney21, M(CL)",178,70,20(1),1812,1,-,1.2,1.2,0.8,1.4,-,0.8,1.5,6.64
17,,"Matt Clarke27, D(C)",185,83,19(5),1811,1,3,0.9,0.3,0.2,0.8,-,0.3,0.5,6.98
18,,"Rav van den Berg19, D(CR)",190,75,33(1),2895,1,-,0.4,0.2,0.2,0.3,-,0.2,0.5,6.73
19,,"Ajay Matthews17, Midfielder",0,0,0(2),11,-,-,-,-,-,-,-,-,-,6.02
20,,"Anfernee Dijksteel27, D(CR),M(R)",183,72,8(12),739,-,-,0.2,0.3,0.4,1,-,0.6,0.7,6.24
21,,"Calum Kavanagh20, AM(C),FW",0,0,0(2),6,-,-,-,-,-,-,-,-,0.5,5.98
22,,"Charlie Lennon18, Forward",0,0,0(1),16,-,-,-,-,-,-,-,-,2,5.84
23,,"Dael Fry26, D(CR)",190,72,28,2520,-,1,0.5,0.2,0.1,0.5,0.1,0.1,0.4,6.67
24,,"Daniel Barlaser27, DMC",184,62,26(7),2329,-,2,0.2,1.8,0.4,0.6,-,0.5,0.5,6.7
25,,"Hayden Coulson25, D(L),M(L)",177,70,2,150,-,-,1.5,-,1,0.5,-,0.5,2.5,6.47
26,,"James Wilson0, Midfielder",0,0,0(1),1,-,-,-,-,-,-,-,-,-,6
27,,"Law McCabe17, Midfielder",0,0,1(2),102,-,-,-,0.3,-,-,-,-,0.7,6.23
28,,"Lewis O'Brien25, D(L),M(CL)",173,74,18(5),1574,-,1,0.6,0.7,0.5,1.3,-,1,1,6.63
29,,"Luke Ayling32, D(CR),M(R)",185,72,19,1644,-,8,0.8,1.4,0.6,0.9,0.1,0.5,1.5,7.01
30,,"Luke Thomas22, D(L),M(L)",181,0,8(4),659,-,-,0.6,0.5,0.3,1,-,0.3,1.2,6.48
31,,"Paddy McNair29, D(CR),M(C)",183,72,20(1),1760,-,-,0.6,0.3,0.6,1,-,0.1,0.1,6.68
32,,"Seny Dieng29, GK",193,90,35,3150,-,-,-,-,-,0.2,-,-,-,6.55
33,,"Sonny Finch18, Forward",0,0,0(1),8,-,-,-,-,-,-,-,-,-,6
34,,"Tom Glover26, GK",190,90,11(1),991,-,-,-,-,0.1,0.2,-,-,-,6.55
35,,"Tommy Smith32, D(CR),M(R)",186,75,4(2),383,-,-,0.3,0.8,-,0.5,-,0.3,0.5,6.47
