R,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
1,,"Patrick Bamford21, AM(CLR),FW",185,71,34(6),3005,17,2,2.6,0.7,0.4,1.5,0.4,1.6,2.5,6.82
2,,"Grant Leadbitter29, DM(C)",174,68,43(3),3888,11,9,1.2,2.4,0.3,0.4,-,0.7,0.5,7.38
3,,"Kike25, FW",186,79,26(19),2550,10,3,2.8,0.9,0.3,0.9,0.7,1.8,2.1,6.59
4,,"Jelle Vossen26, AM(C),FW",180,70,23(13),1925,8,3,1.9,0.7,0.3,0.6,0.5,0.8,1.3,6.65
5,,"Lee Tomlin26, AM(C),FW",180,74,35(10),3120,8,10,1.8,1.5,1.2,1.2,-,1.8,1.2,6.88
6,,"Albert Adomah27, AM(LR)",185,73,43(3),3744,6,4,1.6,1.1,1.1,1.3,0.4,1.3,1.5,7.02
7,,"Daniel Ayala24, D(C)",190,81,32(1),2760,4,-,1,0.1,-,0.9,0.1,0.1,0.2,7.43
8,,"Adam Reach22, AM(L)",185,73,27(13),2519,2,6,0.9,0.9,1,0.5,0.2,0.8,1.3,6.75
9,,"Yanic Wildschut23, AM(L)",187,86,3(8),288,2,-,0.4,0.4,0.6,-,-,0.5,0.5,6.43
10,,"Fernando Amorebieta30, D(CL)",192,85,2(3),208,1,-,0.4,0.4,-,0.4,-,0.2,0.2,7.14
11,,"George Friend27, D(L)",188,83,45,4025,1,2,0.8,0.9,1.3,0.8,0.1,0.8,1.1,7.21
12,,"Jonathan Woodgate35, D(CR)",188,80,5(3),509,1,-,0.3,0.1,-,0.1,-,-,-,7.19
13,,"Adam Clayton26, M(C)",175,75,40(4),3474,-,3,0.8,1.2,0.4,1,-,0.8,0.7,7.05
14,,"Adam Forshaw23, M(C)",185,71,6(14),718,-,-,0.4,1,0.2,0.8,-,0.3,0.3,6.5
15,,"Ben Gibson22, D(CL)",185,78,36(3),3218,-,1,0.2,0.1,0.1,0.3,-,0.1,0.1,6.79
16,,"Damiá33, D(LR),M(R)",188,79,6,470,-,-,0.5,0.2,0.3,0.8,-,0.5,0.7,6.55
17,,"Dean Whitehead33, D(R),DM(C),M(R)",180,77,14(7),1192,-,-,0.1,0.2,-,0.4,-,0.1,0.5,6.48
18,,"Dimitrios Konstantopoulos36, GK",193,90,43,3823,-,-,-,-,-,0.3,-,-,-,6.75
19,,"Dwight Tiendalli29, D(LR)",180,69,2,122,-,-,-,0.5,-,-,-,-,-,6.49
20,,"Emilio Nsue Lopez25, D(R),M(CLR),FW",182,75,12(15),1230,-,3,0.5,0.8,0.1,0.3,0.3,0.5,0.5,6.44
21,,"Emmanuel Ledesma27, AM(LR)",180,77,1,75,-,-,2,2,-,-,-,1,-,6.84
22,,"James Husband21, D(L)",180,65,2(1),181,-,-,-,0.7,-,1.7,-,0.3,1.3,6.43
23,,"Kenneth Omeruo21, D(C)",168,67,17(2),1565,-,1,0.2,0.1,0.2,0.4,-,0.1,0.3,7.03
24,,"Luke Williams21, FW",185,74,0(4),46,-,-,1,-,-,-,0.3,0.3,-,6.15
25,,"Milos Veljkovic19, D",173,69,1(2),145,-,-,0.3,0.3,-,-,-,-,0.3,6.55
26,,"Rhys Williams26, D(CR)",187,72,0(1),1,-,-,-,-,-,-,-,-,-,6
27,,"Ryan Fredericks22, D(R)",190,80,16(1),1337,-,-,0.2,0.7,0.6,0.9,-,0.4,0.5,7.09
28,,"Seb Hines26, D(C)",188,83,3,256,-,-,0.7,0.7,-,-,-,0.3,0.7,6.74
29,,"Tomas Kalas22, D(CR)",182,73,16(1),1467,-,1,0.1,0.7,0.4,1.2,-,0.3,0.8,7.31
30,,"Tomás Mejías26, GK",195,84,6(1),586,-,-,-,-,-,-,-,-,-,6.26
