Rank,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
1,,"Chuba Akpom27, AM(C),FW",183,70,37(3),3301,28,2,2.6,0.6,1.3,2.4,0.4,1.3,1.9,7.22
2,,"Cameron Archer21, FW",171,72,19(3),1552,11,6,1.8,1.2,1.1,0.7,0.6,1.3,2.4,7.08
3,,"Marcus Forss23, AM(R),FW",182,76,25(15),2062,10,5,1.2,0.4,0.3,0.5,0.3,0.7,0.9,6.56
4,,"Matt Crooks29, M(C),FW",183,72,18(21),1802,7,6,1,0.6,0.4,0.4,0.4,0.5,1.4,6.58
5,,"Riley McGree24, AM(CLR)",178,72,37(8),3210,6,3,1.8,1.1,0.8,0.8,0.1,1.1,1.9,6.73
6,,"Aaron Ramsey20, AM(CL)",0,0,8(3),671,5,1,1.7,0.6,1.8,0.6,-,1.7,1.2,7.16
7,,"Duncan Watmore29, AM(CLR),FW",175,72,10(11),848,5,2,1.3,0.5,0.7,0.7,0.3,1,1.2,6.49
8,,"Hayden Hackney20, M(C)",0,0,34(2),2930,3,4,1,0.6,0.9,1,-,0.7,1.4,6.8
9,,"Isaiah Jones23, M(LR)",0,0,25(11),2460,3,5,0.7,1.2,1.3,2,0.1,1.1,2.6,6.68
10,,"Rodrigo Muniz22, FW",178,67,9(8),893,2,-,1.6,0.3,0.4,1.6,0.4,0.9,1.5,6.47
11,,"Paddy McNair28, D(CR),M(C)",183,72,28(4),2426,1,-,0.5,0.4,-,1.1,0.1,0.2,0.6,6.56
12,,"Alex Mowatt28, M(CLR)",170,71,13(17),1296,-,2,0.5,0.6,0.1,0.6,-,0.1,0.3,6.37
13,,"Anfernee Dijksteel26, D(CR),M(R)",183,72,10(11),970,-,1,-,0.2,0.7,0.8,-,0.5,0.8,6.33
14,,"Caolan Boyd-Munce23, Midfielder",0,0,0(1),1,-,-,-,-,-,-,-,-,-,6
15,,"Dael Fry25, D(CR)",181,72,26(4),2289,-,-,0.4,0.1,-,0.5,-,-,0.4,6.83
16,,"Daniel Barlaser26, DMC",184,62,3(9),427,-,1,0.3,0.5,0.2,0.8,-,0.2,0.6,6.38
17,,"Darnell Fisher29, D(LR),M(R)",175,80,0(1),1,-,-,-,-,-,-,-,-,-,6
18,,"Darragh Lenihan29, D(C),DMC",178,76,42(1),3766,-,3,0.7,0.2,-,0.5,-,0.1,0.3,6.93
19,,"Jonny Howson35, D(CR),M(CLR)",180,77,43(1),3711,-,3,0.2,0.8,0.5,0.5,-,0.6,0.9,6.66
20,,"Josh Coburn20, FW",0,0,0(1),27,-,-,2,-,-,1,-,-,3,5.91
21,,"Liam Roberts28, GK",183,82,4,360,-,-,-,-,-,-,-,-,-,6.36
22,,"Marc Bola25, D(CL),M(L)",185,78,9(16),1010,-,-,0.4,0.3,0.3,0.2,-,0.4,0.5,6.35
23,,"Matt Clarke26, D(C)",185,83,6,462,-,-,0.8,0.3,0.2,0.7,0.2,0.3,0.2,6.82
24,,"Matthew Hoppe22, FW",191,80,0(6),65,-,-,0.7,0.2,0.3,-,-,0.2,0.2,6.13
25,,"Pharrell Willis20, Forward",0,0,0(1),7,-,-,-,-,1,-,-,1,1,6.13
26,,"Ryan Giles23, D(L),M(LR)",179,0,45(2),4020,-,11,0.3,1.9,0.5,0.3,0.2,0.3,0.9,6.81
27,,"Sonny Finch17, Forward",0,0,0(3),5,-,-,-,-,-,0.3,-,-,0.3,6
28,,"Tommy Smith31, D(CR),M(R)",186,75,33(5),2953,-,1,0.5,0.4,0.1,0.6,0.1,0.3,0.5,6.61
29,,"Zack Steffen28, GK",191,86,44,3960,-,1,-,-,-,0.2,-,-,-,6.63
