Rank,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
1,,"Morgan Rogers21, AM(CL),FW",0,0,5(1),451,5,2,2.3,1.3,1.3,1.7,0.5,1.5,2.7,7.59
2,,"Emmanuel Latte Lath25, FW",177,75,5,316,2,-,1.4,0.4,-,0.6,1.2,1.4,2.4,6.61
3,,"Matt Crooks30, M(C),FW",191,72,4(2),341,2,-,0.5,0.3,0.5,-,0.8,1.2,1.5,6.45
4,,"Riley McGree25, AM(CLR)",178,78,1(2),93,2,2,1,1.3,0.3,-,0.3,1,2.3,7.3
5,,"Sam Silvera23, AM(LR)",173,75,4(1),369,2,1,2.8,0.6,1.2,0.8,0.4,1.8,2.4,7.28
6,,"Hayden Hackney21, M(CL)",178,70,6,517,1,2,1.2,1,1.5,1,-,1.3,1.5,7.08
7,,"Isaiah Jones24, M(LR)",181,0,4(1),383,1,1,0.8,1,1,1.4,0.2,0.8,2,6.76
8,,"Jonny Howson36, D(CR),M(CLR)",180,76,3(1),274,1,1,1,0.5,0.8,1,0.3,0.3,1.3,6.81
9,,"Alex Bangura24, D(L)",183,0,2(1),116,-,2,0.3,0.7,1,0.3,0.3,0.3,1,6.48
10,,"Alex Gilbert22, Forward",183,67,0(2),20,-,-,-,0.5,-,-,0.5,-,0.5,6.27
11,,"Anfernee Dijksteel27, D(CR),M(R)",183,72,2(1),222,-,-,0.3,1,1.3,1.3,-,1.3,0.7,6.92
12,,"Calum Kavanagh20, AM(C),FW",0,0,0(1),17,-,-,1,-,-,-,-,-,2,6.02
13,,"Dael Fry26, D(CR)",190,72,6,540,-,-,0.3,-,0.3,0.5,-,0.3,0.3,6.82
14,,"Daniel Barlaser27, DMC",184,62,7,630,-,3,0.4,1.6,0.7,0.6,-,1.1,1.1,6.87
15,,"Darragh Lenihan30, D(C),DMC",178,76,2,180,-,-,1,-,0.5,1.5,-,-,-,6.75
16,,"Finley Cartwright17, Midfielder",0,0,0(1),4,-,-,-,-,-,1,-,1,-,5.98
17,,"Hayden Coulson25, D(L),M(L)",177,70,1,90,-,-,-,-,-,-,-,-,3,6.45
18,,"Josh Coburn21, FW",0,0,0(3),91,-,-,0.3,-,0.3,0.7,1,2,2,6.24
19,,"Law McCabe17, Midfielder",0,0,0(1),7,-,-,-,-,-,-,-,1,-,6.03
20,,"Lewis O'Brien25, D(L),M(CL)",173,74,1(1),109,-,-,1.5,-,0.5,0.5,0.5,-,1.5,6.78
21,,"Lukas Engel25, D(L)",178,74,4(1),367,-,-,0.2,0.6,0.4,0.6,-,0.6,0.2,6.78
22,,"Marcus Forss24, AM(R),FW",182,76,2,119,-,-,1.5,1,-,0.5,-,-,0.5,6.18
23,,"Martín Payero25, AM(C)",183,80,1,74,-,-,3,-,1,-,-,-,3,6
24,,"Matt Clarke27, D(C)",185,83,2(1),250,-,-,-,-,-,0.3,-,0.3,0.7,6.82
25,,"Paddy McNair29, D(CR),M(C)",183,72,4,360,-,1,1.3,1.5,0.3,0.8,-,-,0.5,6.79
26,,"Rav van den Berg19, D(CR)",190,75,3(1),273,-,-,-,-,-,-,-,0.3,1,6.23
27,,"Tom Glover26, GK",190,90,7,630,-,-,-,-,0.1,-,-,-,-,6.29
28,,"Tommy Smith32, D(CR),M(R)",186,75,1,90,-,-,-,2,-,-,-,-,2,7.49
,,,,,,,,,,,,,,,,
