R,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
1,,"Álvaro Negredo31, FW",186,86,33(3),2880,9,4,1.9,0.7,0.5,0.9,0.5,0.9,1.9,6.91
2,,"Cristhian Stuani30, AM(CLR),FW",186,77,16(7),1362,4,-,0.9,0.3,0.6,1.3,0.2,1.6,1.3,6.61
3,,"Marten de Roon26, DMC",185,76,32(1),2777,4,-,0.9,0.3,0.2,0.7,0.1,0.6,0.8,6.62
4,,"Gastón Ramírez26, AM(CLR)",183,77,20(4),1550,2,3,1.3,1.3,2,1.2,-,1.6,2.3,6.84
5,,"Ben Gibson24, D(CL)",185,78,38,3420,1,1,0.4,0.1,0.4,0.4,-,0.2,0.2,6.82
6,,"Calum Chambers22, D(CR)",182,66,24,2160,1,1,0.3,0.3,0.4,0.4,-,0.5,0.5,7.05
7,,"Daniel Ayala26, D(C)",190,81,11(3),917,1,-,0.7,-,-,0.2,0.1,0.1,-,6.76
8,,"Grant Leadbitter31, DMC",177,79,7(6),708,1,-,1,0.7,0.3,0.5,-,0.4,0.3,6.4
9,,"Patrick Bamford23, AM(CLR),FW",185,71,2(6),281,1,-,0.8,0.1,0.3,1.1,0.1,0.5,1,6.28
10,,"Rudy Gestede28, FW",193,86,4(12),525,1,-,1,0.7,0.2,0.8,0.2,0.4,0.9,6.57
11,,"Stewart Downing32, D(L),M(CLR)",180,64,24(6),2212,1,3,1,1,0.2,0.5,0.2,0.4,0.7,6.57
12,,"Adam Clayton28, M(C)",175,75,32(2),2806,-,2,0.3,0.6,0.6,1.2,-,0.7,0.6,6.8
13,,"Adam Forshaw25, M(C)",185,71,30(4),2700,-,1,0.8,0.8,0.6,0.9,-,1,1,6.61
14,,"Adama Traoré21, AM(R)",178,72,16(11),1537,-,1,0.4,0.7,5,1.6,-,1.9,2.1,7.03
15,,"Adlène Guédioura31, M(C)",186,81,0(5),136,-,-,1.2,0.2,1.4,0.2,-,1.6,1,6.41
16,,"Albert Adomah29, AM(LR)",185,73,1(1),121,-,-,2,0.5,1,1,-,2,1.5,6.27
17,,"Antonio Barragán29, D(R),M(R)",186,83,26,2196,-,-,0.1,0.3,0.6,0.8,-,0.3,0.8,6.94
18,,"Bernardo27, D(C)",192,84,10(1),975,-,-,0.2,-,-,0.6,0.1,-,-,6.83
19,,"Brad Guzan32, GK",193,94,10,900,-,-,-,-,-,0.1,-,-,-,6.47
20,,"David Nugent32, M(C),FW",180,76,0(4),40,-,-,-,-,0.3,-,-,0.5,0.3,6.03
21,,"Nsue27, D(R),M(R),FW",182,75,4,322,-,-,0.5,0.5,0.3,1,-,0.8,0.5,6.62
22,,"Fabio26, D(LR)",172,65,21(3),1849,-,-,0.2,0.7,0.8,0.8,0.2,0.6,0.5,6.83
23,,"George Friend29, D(L)",188,83,20(4),1960,-,2,0.6,0.5,1.5,1,-,0.7,1.1,6.99
24,,"James Husband23, D(L)",179,65,1,59,-,-,-,-,-,-,-,1,1,5.8
25,,"Jordan Rhodes27, FW",185,71,2(4),208,-,-,1,0.3,0.3,0.5,0.3,-,0.2,6.24
26,,"Víctor Valdés35, GK",183,78,28,2520,-,-,-,-,-,0.1,-,-,0.1,6.66
27,,"Viktor Fischer22, AM(L),FW",180,81,6(7),439,-,3,0.9,0.5,0.8,0.5,0.2,0.9,0.5,6.37
