R,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Daniel Ayala24, D(C)",190,81,29(1),2490,-,0.1,34.6,70.4,-,3.1,-,7.51
2,,"Jonathan Woodgate35, D(CR)",188,80,5(2),508,-,0.1,26.3,64.7,-,2.3,-,7.36
3,,"Grant Leadbitter29, DM(C)",174,68,40(3),3618,9,2.3,52.1,82,2.5,4.4,0.1,7.35
4,,"Tomas Kalas21, D(CR)",182,73,16(1),1467,1,0.7,33.8,71,0.4,2.1,-,7.31
5,,"George Friend27, D(L)",188,83,42,3755,1,0.9,42.8,72.9,0.5,2.1,-,7.17
6,,"Ryan Fredericks22, D(R)",190,80,16(1),1337,-,0.7,29.2,71.2,0.8,1.8,-,7.09
7,,"Fernando Amorebieta30, D(CL)",192,85,2(2),191,-,0.5,20,72.5,0.3,0.5,-,7.06
8,,"Adam Clayton26, M(C)",175,75,37(4),3204,2,1.2,47.8,82.9,0.5,4.3,-,7.03
9,,"Kenneth Omeruo21, D(C)",168,67,17(2),1565,1,0.1,40.6,70.8,-,4.5,-,7.03
10,,"Albert Adomah27, AM(LR)",185,73,40(3),3474,3,1.2,25.3,72.8,1.2,0.8,-,7
11,,"Patrick Bamford21, AM(CLR),FW",185,71,32(6),2825,2,0.7,19.7,71,0.2,0.4,-,6.86
12,,"Emmanuel Ledesma26, AM(LR)",180,77,1,75,-,2,27,74.1,2,5,-,6.84
13,,"Lee Tomlin26, AM(C),FW",180,74,32(10),2875,9,1.5,31.2,79.7,-,2.5,0.1,6.84
14,,"Ben Gibson22, D(CL)",185,78,33(3),2948,1,0.1,38.3,72.1,-,2.8,-,6.8
15,,"Dimitrios Konstantopoulos36, GK",193,90,40,3553,-,-,25.9,37.8,-,6.4,-,6.8
16,,"Adam Reach22, AM(L)",185,73,27(12),2497,6,0.8,23.2,72.9,0.6,0.9,-,6.77
17,,"Seb Hines26, D(C)",188,83,3,256,-,0.7,33.3,79,-,4,-,6.74
18,,"Jelle Vossen26, AM(C),FW",180,70,20(13),1684,3,0.8,15.5,71.5,0.1,0.6,0.1,6.64
19,,"Kike25, FW",186,79,25(17),2459,3,0.9,16.9,77.5,-,0.5,-,6.61
20,,"Damiá33, D(LR),M(R)",188,79,6,470,-,0.2,37.5,74.7,0.3,2.7,-,6.55
21,,"Milos Veljkovic19, D",173,69,1(2),145,-,0.3,22.7,75,-,1.7,0.3,6.55
22,,"Adam Forshaw23, M(C)",185,71,6(12),703,-,1.1,21.8,82.4,0.6,1.1,0.1,6.53
23,,"Dwight Tiendalli29, D(LR)",180,69,2,122,-,0.5,35,80,-,1.5,-,6.49
24,,"Dean Whitehead33, DM(C),M(R)",180,77,11(7),966,-,0.3,34.1,82.2,-,2.7,-,6.48
25,,"Emilio Nsue Lopez25, D(R),M(CLR),FW",182,75,12(14),1185,3,0.8,21,79.1,0.4,1,-,6.44
26,,"Yanic Wildschut23, AM(L)",187,86,3(8),288,-,0.4,8.1,75.3,0.3,0.1,-,6.43
27,,"James Husband21, D(L)",180,65,2(1),181,-,0.7,23.7,73.2,-,1.3,-,6.43
28,,"Tomás Mejías26, GK",195,84,6(1),586,-,-,19.9,56.1,-,6.9,-,6.26
29,,"Luke Williams21, FW",185,74,0(4),46,-,-,4.8,89.5,0.3,0.3,-,6.15
30,,"Rhys Williams26, D(CR)",187,72,0(1),1,-,-,7,71.4,-,-,-,6
