Player,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Isaiah Jones22, M(LR)",0,0,36(6),3274,8,1.1,25,77.1,0.4,0.6,-,6.89
2,,"Marcus Tavernier23, M(CLR)",0,0,43(1),3905,5,1.5,36.9,76.9,0.9,1,0.1,7
3,,"Jonny Howson33, D(CR),M(CLR)",180,77,44(1),3940,4,1,43.2,76,0.5,2.6,-,6.73
4,,"Anfernee Dijksteel25, D(CR),M(R)",183,72,34,2967,3,0.6,39.6,79.1,0.2,2,-,6.77
5,,"Duncan Watmore28, AM(LR),FW",175,72,22(19),1970,3,0.6,8.1,72.1,0.1,0.1,-,6.43
6,,"Folarin Balogun20, FW",178,66,9(9),890,3,0.5,11.5,80.7,0.1,0.3,0.1,6.59
7,,"Patrick McNair27, D(CR),M(C)",183,72,42,3763,3,0.7,51.4,79.5,0.5,4.5,-,6.93
8,,"Andraz Sporar28, FW",186,82,28(7),2382,2,0.5,14.5,75,0.1,0.4,0.1,6.6
9,,"Dael Fry24, D(CR)",181,72,32(1),2816,2,0.2,45.8,76.6,-,3.5,-,6.8
10,,"Matt Crooks28, M(C),FW",183,72,40,3494,2,1.1,36.9,73.8,0.2,0.9,0.1,7.06
11,,"Marc Bola24, D(CL),M(L)",185,78,19(4),1760,1,1,34,76,0.4,1.1,0.1,6.68
12,,"Martín Payero23, AM(C)",183,80,6(7),564,1,0.3,11.2,74.7,0.1,0.4,-,6.47
13,,"Sol Bamba37, D(C),DMC",190,90,18(6),1663,1,0.2,26.2,80.1,-,1.7,-,6.83
14,,"Uche Ikpeazu27, FW",191,78,8(12),649,1,0.4,6.2,52,0.1,0.1,-,6.36
15,,"Aaron Connolly22, FW",0,0,13(6),1187,-,0.4,8.2,71.2,-,0.4,0.1,6.39
16,,"Caolan Boyd-Munce22, Midfielder",0,0,0(1),21,-,1,16,81.3,1,1,-,6.43
17,,"Chuba Akpom26, FW",183,70,0(1),19,-,-,2,50,-,-,-,6.12
18,,"Djed Spence21, D(R),M(R)",0,0,2(1),211,-,0.3,10.7,71.9,-,0.3,-,6.64
19,,"Grant Hall30, D(C),DMC",175,71,8,720,-,0.1,27.5,60,-,1.8,-,6.57
20,,"James Léa Siliki25, M(CL)",183,70,3(8),330,-,0.5,7.8,59.3,0.2,0.2,0.1,6.2
21,,"Joe Lumley27, GK",0,0,34,3060,-,-,30,53.9,-,6.3,-,6.44
22,,"Josh Coburn19, Forward",0,0,3(15),471,-,0.2,3.7,53,-,0.1,-,6.3
23,,"Lee Peltier35, D(CLR),DMC,M(R)",178,73,17(4),1466,-,0.1,25.8,65.8,-,1.9,-,6.46
24,,"Luke Daniels34, GK",185,81,12,1080,-,-,29.3,46.3,-,6.6,-,6.54
25,,"Neil Taylor33, D(L),M(L)",176,64,14,1110,-,0.4,28.9,73.6,0.2,0.9,-,6.44
26,,"Onel Hernández29, M(CLR),FW",172,76,9(8),785,-,0.9,10.3,77.1,0.2,0.4,-,6.39
27,,"Riley McGree23, AM(C)",178,72,7(4),723,-,0.9,36.9,86.7,-,1.8,0.2,6.7
28,,"Sam Morsy30, M(C)",175,70,3,242,-,0.3,27.7,84.3,-,1.3,-,6.19
29,,"Toyosi Olusanya24, Forward",0,0,0(3),64,-,-,5.3,75,-,-,-,6.06
30,,"William Kokolo21, M(L)",0,0,0(1),7,-,-,2,-,-,-,-,5.98
