Rank,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Luke Ayling32, D(CR),M(R)",185,72,19,1644,8,1.4,48.2,81.4,1.1,1.9,0.1,7.01
2,,"Matt Crooks30, M(C),FW",191,72,18(7),1537,6,0.9,25.6,82.3,-,0.6,0.2,6.67
3,,"Morgan Rogers21, AM(CL),FW",0,0,14(12),1301,6,1.4,17.2,72.2,-,0.7,0.4,6.66
4,,"Finn Azaz23, AM(CL)",185,70,15(5),1362,5,1.5,29.5,77.6,0.2,1.3,0.4,6.8
5,,"Isaiah Jones24, M(LR)",181,0,31(4),2600,4,1.1,26.2,81.6,0.1,0.5,0.1,6.94
6,,"Lukas Engel25, D(L)",178,74,28(7),2477,4,0.8,39.9,79.1,0.3,2.4,0.1,6.81
7,,"Alex Gilbert22, Forward",183,67,2(10),227,3,0.3,12.8,79.2,0.2,0.8,0.2,6.55
8,,"Matt Clarke27, D(C)",185,83,19(5),1811,3,0.3,55.5,85.3,0.1,3.1,-,6.98
9,,"Sam Greenwood22, AM(CL),FW",185,0,25(12),2205,3,0.6,15.5,80.3,0.6,1,0.1,6.51
10,,"Daniel Barlaser27, DMC",184,62,26(7),2329,2,1.8,63.4,89.2,1.2,3.1,0.2,6.7
11,,"Jonny Howson36, D(CR),M(CLR)",180,76,35(3),3099,2,1.5,57.3,85.8,0.7,2.5,0.1,6.72
12,,"Marcus Forss24, AM(R),FW",182,76,12(9),1117,2,0.6,9.9,70.5,0.2,0.2,-,6.57
13,,"Sam Silvera23, AM(LR)",173,75,12(25),1357,2,0.5,12.1,80,0.2,0.1,-,6.28
14,,"Alex Bangura24, D(L)",183,0,6(8),582,1,0.2,18.6,88.1,0.1,0.3,-,6.55
15,,"Dael Fry26, D(CR)",190,72,28,2520,1,0.2,67.4,89.5,-,3.2,-,6.67
16,,"Emmanuel Latte Lath25, FW",177,75,23(7),2093,1,0.5,9.8,68.4,0.1,0.1,-,6.99
17,,"Josh Coburn21, FW",0,0,11(10),993,1,0.4,8.2,77.5,-,-,-,6.48
18,,"Lewis O'Brien25, D(L),M(CL)",173,74,18(5),1574,1,0.7,42.3,87.1,0.2,0.7,0.1,6.63
19,,"Riley McGree25, AM(CLR)",178,78,14(8),1261,1,0.8,28.2,82.6,-,0.4,-,6.65
20,,"Ajay Matthews17, Midfielder",0,0,0(2),11,-,-,0.5,100,-,-,-,6.02
21,,"Anfernee Dijksteel27, D(CR),M(R)",183,72,8(12),739,-,0.3,21,85.4,0.1,0.2,-,6.24
22,,"Calum Kavanagh20, AM(C),FW",0,0,0(2),6,-,-,0.5,100,-,-,-,5.98
23,,"Charlie Lennon18, Forward",0,0,0(1),16,-,-,2,50,-,-,-,5.84
24,,"Darragh Lenihan30, D(C),DMC",178,76,8,720,-,0.6,75,90.2,-,2.8,-,6.77
25,,"Hayden Coulson25, D(L),M(L)",177,70,2,150,-,-,37.5,86.7,-,1,-,6.47
26,,"Hayden Hackney21, M(CL)",178,70,20(1),1812,-,1.2,75.8,87.9,0.1,2.8,0.2,6.64
27,,"James Wilson0, Midfielder",0,0,0(1),1,-,-,6,100,-,-,-,6
28,,"Law McCabe17, Midfielder",0,0,1(2),102,-,0.3,24.7,89.2,-,1.3,-,6.23
29,,"Luke Thomas22, D(L),M(L)",181,0,8(4),659,-,0.5,30.2,79.6,0.3,0.4,-,6.48
30,,"Paddy McNair29, D(CR),M(C)",183,72,20(1),1760,-,0.3,59,87.3,0.2,3.5,0.1,6.68
31,,"Rav van den Berg19, D(CR)",190,75,33(1),2895,-,0.2,55.1,88.9,0.1,1.7,-,6.73
32,,"Seny Dieng29, GK",193,90,35,3150,-,-,36.6,76.7,-,4.3,-,6.55
33,,"Sonny Finch18, Forward",0,0,0(1),8,-,-,-,-,-,-,-,6
34,,"Tom Glover26, GK",190,90,11(1),991,-,-,31.6,75.2,-,3.9,-,6.55
35,,"Tommy Smith32, D(CR),M(R)",186,75,4(2),383,-,0.8,37,86.9,0.2,2.2,-,6.47
