Rank,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Ryan Giles23, D(L),M(LR)",179,0,45(2),4020,11,1.9,38.8,78.4,2.1,1,-,6.81
2,,"Cameron Archer21, FW",171,72,19(3),1552,6,1.2,15.9,80.9,-,0.2,0.1,7.08
3,,"Matt Crooks29, M(C),FW",183,72,18(21),1802,6,0.6,17.8,77.7,0.1,0.4,-,6.58
4,,"Isaiah Jones23, M(LR)",0,0,25(11),2460,5,1.2,25.1,80.2,0.4,0.4,0.1,6.68
5,,"Marcus Forss23, AM(R),FW",182,76,25(15),2062,5,0.4,10.3,78.9,0.4,0.1,-,6.56
6,,"Hayden Hackney20, M(C)",0,0,34(2),2930,4,0.6,61.1,89.1,0.1,2.1,0.1,6.8
7,,"Darragh Lenihan29, D(C),DMC",178,76,42(1),3766,3,0.2,69.8,84.4,-,3.3,-,6.93
8,,"Jonny Howson35, D(CR),M(CLR)",180,77,43(1),3711,3,0.8,57,83.6,0.7,2.5,-,6.66
9,,"Riley McGree24, AM(CLR)",178,72,37(8),3210,3,1.1,36.3,82.8,0.4,0.8,0.1,6.73
10,,"Alex Mowatt28, M(CLR)",170,71,13(17),1296,2,0.6,30.9,88.6,0.1,1,0.1,6.37
11,,"Chuba Akpom27, AM(C),FW",183,70,37(3),3301,2,0.6,18.2,81.5,0.1,0.8,0.1,7.22
12,,"Duncan Watmore29, AM(CLR),FW",175,72,10(11),848,2,0.5,6.8,81,-,0.1,-,6.49
13,,"Aaron Ramsey20, AM(CL)",0,0,8(3),671,1,0.6,27.4,80.7,-,0.6,0.2,7.16
14,,"Anfernee Dijksteel26, D(CR),M(R)",183,72,10(11),970,1,0.2,23.6,80.8,0.1,0.8,-,6.33
15,,"Daniel Barlaser26, DMC",184,62,3(9),427,1,0.5,38.8,87.1,0.4,1.5,-,6.38
16,,"Tommy Smith31, D(CR),M(R)",186,75,33(5),2953,1,0.4,53.8,83.6,0.3,2.4,-,6.61
17,,"Zack Steffen28, GK",191,86,44,3960,1,-,31.1,73.4,-,4.6,-,6.63
18,,"Caolan Boyd-Munce23, Midfielder",0,0,0(1),1,-,-,3,66.7,-,-,-,6
19,,"Dael Fry25, D(CR)",181,72,26(4),2289,-,0.1,50.2,81,-,2.5,-,6.83
20,,"Darnell Fisher29, D(LR),M(R)",175,80,0(1),1,-,-,2,100,-,-,-,6
21,,"Josh Coburn20, FW",0,0,0(1),27,-,-,4,100,-,-,-,5.91
22,,"Liam Roberts28, GK",183,82,4,360,-,-,27.3,53.2,-,6.8,-,6.36
23,,"Marc Bola25, D(CL),M(L)",185,78,9(16),1010,-,0.3,28.4,80.1,0.1,1.2,0.1,6.35
24,,"Matt Clarke26, D(C)",185,83,6,462,-,0.3,37.2,75.3,0.2,1.7,-,6.82
25,,"Matthew Hoppe22, FW",191,80,0(6),65,-,0.2,4.2,72,-,0.2,-,6.13
26,,"Paddy McNair28, D(CR),M(C)",183,72,28(4),2426,-,0.4,52.1,83.6,0.3,2.4,-,6.56
27,,"Pharrell Willis20, Forward",0,0,0(1),7,-,-,4,75,-,-,-,6.13
28,,"Rodrigo Muniz22, FW",178,67,9(8),893,-,0.3,5.4,51.6,-,0.1,0.1,6.47
29,,"Sonny Finch17, Forward",0,0,0(3),5,-,-,-,-,-,-,-,6
