Rank,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Daniel Barlaser27, DMC",184,62,7,630,3,1.6,80.9,91,0.4,3.3,0.3,6.87
2,,"Alex Bangura24, D(L)",183,0,2(1),116,2,0.7,18.3,85.5,-,-,-,6.48
3,,"Hayden Hackney21, M(CL)",178,70,6,517,2,1,57.5,83.2,-,2.2,0.5,7.08
4,,"Morgan Rogers21, AM(CL),FW",0,0,5(1),451,2,1.3,27.7,72.9,-,-,-,7.59
5,,"Riley McGree25, AM(CLR)",178,78,1(2),93,2,1.3,21,95.2,0.3,-,-,7.3
6,,"Isaiah Jones24, M(LR)",181,0,4(1),383,1,1,31.4,84.1,0.2,1.4,0.2,6.76
7,,"Jonny Howson36, D(CR),M(CLR)",180,76,3(1),274,1,0.5,46,87,-,1.5,0.5,6.81
8,,"Paddy McNair29, D(CR),M(C)",183,72,4,360,1,1.5,78,88.5,1.3,3.8,-,6.79
9,,"Sam Silvera23, AM(LR)",173,75,4(1),369,1,0.6,28.6,88.8,0.4,0.8,0.4,7.28
10,,"Alex Gilbert22, Forward",183,67,0(2),20,-,0.5,6.5,61.5,-,-,-,6.27
11,,"Anfernee Dijksteel27, D(CR),M(R)",183,72,2(1),222,-,1,33,87.9,0.3,0.3,-,6.92
12,,"Calum Kavanagh20, AM(C),FW",0,0,0(1),17,-,-,5,100,-,-,-,6.02
13,,"Dael Fry26, D(CR)",190,72,6,540,-,-,63.8,88,-,2.7,-,6.82
14,,"Darragh Lenihan30, D(C),DMC",178,76,2,180,-,-,74.5,83.2,-,4.5,-,6.75
15,,"Emmanuel Latte Lath25, FW",177,75,5,316,-,0.4,8.6,88.4,-,0.4,-,6.61
16,,"Finley Cartwright17, Midfielder",0,0,0(1),4,-,-,12,83.3,-,-,-,5.98
17,,"Hayden Coulson25, D(L),M(L)",177,70,1,90,-,-,47,78.7,-,-,-,6.45
18,,"Josh Coburn21, FW",0,0,0(3),91,-,-,7.7,60.9,-,-,-,6.24
19,,"Law McCabe17, Midfielder",0,0,0(1),7,-,-,8,100,-,1,-,6.03
20,,"Lewis O'Brien25, D(L),M(CL)",173,74,1(1),109,-,-,29.5,91.5,0.5,1,-,6.78
21,,"Lukas Engel25, D(L)",178,74,4(1),367,-,0.6,40.8,72.1,0.2,3.2,-,6.78
22,,"Marcus Forss24, AM(R),FW",182,76,2,119,-,1,13.5,85.2,-,0.5,-,6.18
23,,"Martín Payero25, AM(C)",183,80,1,74,-,-,37,83.8,-,-,-,6
24,,"Matt Clarke27, D(C)",185,83,2(1),250,-,-,49.7,87.2,-,1.7,-,6.82
25,,"Matt Crooks30, M(C),FW",191,72,4(2),341,-,0.3,22,75.8,-,0.3,0.3,6.45
26,,"Rav van den Berg19, D(CR)",190,75,3(1),273,-,-,38,88.8,-,0.8,-,6.23
27,,"Tom Glover26, GK",190,90,7,630,-,-,32.3,79.2,-,3.3,-,6.29
28,,"Tommy Smith32, D(CR),M(R)",186,75,1,90,-,2,65,90.8,2,2,-,7.49
