R,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Álvaro Negredo31, FW",186,86,33(3),2880,4,0.7,23.9,66.9,-,1.4,-,6.91
2,,"Gastón Ramírez26, AM(CLR)",183,77,20(4),1550,3,1.3,26,75.8,1,1.2,0.2,6.84
3,,"Stewart Downing32, D(L),M(CLR)",180,64,24(6),2212,3,1,31.4,81.3,1.4,2.7,-,6.57
4,,"Viktor Fischer22, AM(L),FW",180,81,6(7),439,3,0.5,11.2,80.1,0.3,0.5,-,6.37
5,,"Adam Clayton28, M(C)",175,75,32(2),2806,2,0.6,42.6,87.4,0.2,3.3,-,6.8
6,,"George Friend29, D(L)",188,83,20(4),1960,2,0.5,32.5,77.2,0.2,1.9,-,6.99
7,,"Adam Forshaw25, M(C)",185,71,30(4),2700,1,0.8,39.8,88.3,0.3,2.9,0.1,6.61
8,,"Adama Traoré21, AM(R)",178,72,16(11),1537,1,0.7,13.7,69.9,0.6,0.4,-,7.03
9,,"Ben Gibson24, D(CL)",185,78,38,3420,1,0.1,44.3,84.6,-,3.9,-,6.82
10,,"Calum Chambers22, D(CR)",182,66,24,2160,1,0.3,43,78,0.2,3.3,-,7.05
11,,"Adlène Guédioura31, M(C)",186,81,0(5),136,-,0.2,12.8,68.8,0.2,0.6,-,6.41
12,,"Albert Adomah29, AM(LR)",185,73,1(1),121,-,0.5,16,75,1,0.5,-,6.27
13,,"Antonio Barragán29, D(R),M(R)",186,83,26,2196,-,0.3,39.5,79.9,0.7,2.4,-,6.94
14,,"Bernardo27, D(C)",192,84,10(1),975,-,-,47.8,85.2,-,3.8,-,6.83
15,,"Brad Guzan32, GK",193,94,10,900,-,-,29.7,45.1,-,11,-,6.47
16,,"Cristhian Stuani30, AM(CLR),FW",186,77,16(7),1362,-,0.3,16.7,68,0.2,0.5,-,6.61
17,,"Daniel Ayala26, D(C)",190,81,11(3),917,-,-,27.1,79.5,0.1,2.7,-,6.76
18,,"David Nugent32, M(C),FW",180,76,0(4),40,-,-,3.5,85.7,-,0.3,-,6.03
19,,"Nsue27, D(R),M(R),FW",182,75,4,322,-,0.5,39,82.7,-,1.8,-,6.62
20,,"Fabio26, D(LR)",172,65,21(3),1849,-,0.7,29.6,71,0.6,1,-,6.83
21,,"Grant Leadbitter31, DMC",177,79,7(6),708,-,0.7,26.2,80,0.3,2.1,-,6.4
22,,"James Husband23, D(L)",179,65,1,59,-,-,28,60.7,-,-,-,5.8
23,,"Jordan Rhodes27, FW",185,71,2(4),208,-,0.3,7,61.9,-,-,-,6.24
24,,"Marten de Roon26, DMC",185,76,32(1),2777,-,0.3,40,79.2,0.1,2.2,-,6.62
25,,"Patrick Bamford23, AM(CLR),FW",185,71,2(6),281,-,0.1,8.6,68.1,-,0.1,-,6.28
26,,"Rudy Gestede28, FW",193,86,4(12),525,-,0.7,13.6,56.9,-,0.1,-,6.57
27,,"Víctor Valdés35, GK",183,78,28,2520,-,-,31.7,53.2,-,10.5,-,6.66
