R,,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Daniel Ayala24, D(C)",190,81,32(1),2760,4,-,8,-,1,69.8,4.6,4,7.43
2,,"Grant Leadbitter29, DM(C)",174,68,43(3),3888,11,9,10,-,1.2,82,1,6,7.38
3,,"Tomas Kalas22, D(CR)",182,73,16(1),1467,-,1,-,-,0.1,71,2.6,-,7.31
4,,"George Friend27, D(L)",188,83,45,4025,1,2,7,1,0.8,72.8,2.5,5,7.21
5,,"Jonathan Woodgate35, D(CR)",188,80,5(3),509,1,-,-,-,0.3,64.7,4,2,7.19
6,,"Fernando Amorebieta30, D(CL)",192,85,2(3),208,1,-,1,-,0.4,72.5,4.2,1,7.14
7,,"Ryan Fredericks22, D(R)",190,80,16(1),1337,-,-,5,-,0.2,71.2,0.6,2,7.09
8,,"Adam Clayton26, M(C)",175,75,40(4),3474,-,3,11,-,0.8,83.1,0.9,-,7.05
9,,"Kenneth Omeruo21, D(C)",168,67,17(2),1565,-,1,4,-,0.2,70.8,3.4,-,7.03
10,,"Albert Adomah27, AM(LR)",185,73,43(3),3744,6,4,8,1,1.6,72.8,0.7,2,7.02
11,,"Lee Tomlin26, AM(C),FW",180,74,35(10),3120,8,10,6,-,1.8,79.6,0.7,4,6.88
12,,"Emmanuel Ledesma27, AM(LR)",180,77,1,75,-,-,-,-,2,74.1,1,-,6.84
13,,"Patrick Bamford21, AM(CLR),FW",185,71,34(6),3005,17,2,3,-,2.6,71,1.1,3,6.82
14,,"Ben Gibson22, D(CL)",185,78,36(3),3218,-,1,6,-,0.2,72.3,2.1,-,6.79
15,,"Adam Reach22, AM(L)",185,73,27(13),2519,2,6,3,-,0.9,72.9,0.8,-,6.75
16,,"Dimitrios Konstantopoulos36, GK",193,90,43,3823,-,-,-,1,-,38,0.5,-,6.75
17,,"Seb Hines26, D(C)",188,83,3,256,-,-,1,-,0.7,79,2.3,-,6.74
18,,"Jelle Vossen26, AM(C),FW",180,70,23(13),1925,8,3,4,-,1.9,71.3,1.1,1,6.65
19,,"Kike25, FW",186,79,26(19),2550,10,3,3,-,2.8,77.1,0.8,-,6.59
20,,"Damiá33, D(LR),M(R)",188,79,6,470,-,-,2,-,0.5,74.7,2.3,-,6.55
21,,"Milos Veljkovic19, D",173,69,1(2),145,-,-,-,-,0.3,75,0.3,-,6.55
22,,"Adam Forshaw23, M(C)",185,71,6(14),718,-,-,3,-,0.4,82.8,0.5,-,6.5
23,,"Dwight Tiendalli29, D(LR)",180,69,2,122,-,-,1,-,-,80,1,-,6.49
24,,"Dean Whitehead33, D(R),DM(C),M(R)",180,77,14(7),1192,-,-,4,1,0.1,81.8,1,-,6.48
25,,"Emilio Nsue Lopez25, D(R),M(CLR),FW",182,75,12(15),1230,-,3,3,-,0.5,79.5,0.7,-,6.44
26,,"Yanic Wildschut23, AM(L)",187,86,3(8),288,2,-,-,-,0.4,75.3,0.4,-,6.43
27,,"James Husband21, D(L)",180,65,2(1),181,-,-,-,-,-,73.2,0.7,-,6.43
28,,"Tomás Mejías26, GK",195,84,6(1),586,-,-,-,-,-,56.1,0.1,-,6.26
29,,"Luke Williams21, FW",185,74,0(4),46,-,-,-,-,1,89.5,0.3,-,6.15
30,,"Rhys Williams26, D(CR)",187,72,0(1),1,-,-,-,-,-,71.4,-,-,6
