Rank,,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Chuba Akpom27, AM(C),FW",183,70,37(3),3301,28,2,6,-,2.6,81.5,1.6,4,7.22
2,,"Aaron Ramsey20, AM(CL)",0,0,8(3),671,5,1,1,-,1.7,80.7,0.3,2,7.16
3,,"Cameron Archer21, FW",171,72,19(3),1552,11,6,1,-,1.8,80.9,0.1,3,7.08
4,,"Darragh Lenihan29, D(C),DMC",178,76,42(1),3766,-,3,6,1,0.7,84.4,5.3,3,6.93
5,,"Dael Fry25, D(CR)",181,72,26(4),2289,-,-,2,1,0.4,81,3.6,3,6.83
6,,"Matt Clarke26, D(C)",185,83,6,462,-,-,1,-,0.8,75.3,2.2,-,6.82
7,,"Ryan Giles23, D(L),M(LR)",179,0,45(2),4020,-,11,3,-,0.3,78.4,0.3,2,6.81
8,,"Hayden Hackney20, M(C)",0,0,34(2),2930,3,4,9,-,1,89.1,0.6,1,6.8
9,,"Riley McGree24, AM(CLR)",178,72,37(8),3210,6,3,4,-,1.8,82.8,0.5,1,6.73
10,,"Isaiah Jones23, M(LR)",0,0,25(11),2460,3,5,9,-,0.7,80.2,0.2,1,6.68
11,,"Jonny Howson35, D(CR),M(CLR)",180,77,43(1),3711,-,3,9,-,0.2,83.6,1,-,6.66
12,,"Zack Steffen28, GK",191,86,44,3960,-,1,2,-,-,73.4,0.5,1,6.63
13,,"Tommy Smith31, D(CR),M(R)",186,75,33(5),2953,-,1,11,-,0.5,83.6,0.8,-,6.61
14,,"Matt Crooks29, M(C),FW",183,72,18(21),1802,7,6,8,-,1,77.7,1.5,1,6.58
15,,"Marcus Forss23, AM(R),FW",182,76,25(15),2062,10,5,5,-,1.2,78.9,0.2,2,6.56
16,,"Paddy McNair28, D(CR),M(C)",183,72,28(4),2426,1,-,6,-,0.5,83.6,1.6,1,6.56
17,,"Duncan Watmore29, AM(CLR),FW",175,72,10(11),848,5,2,-,-,1.3,81,0.3,2,6.49
18,,"Rodrigo Muniz22, FW",178,67,9(8),893,2,-,2,-,1.6,51.6,2.4,-,6.47
19,,"Daniel Barlaser26, DMC",184,62,3(9),427,-,1,-,-,0.3,87.1,0.4,-,6.38
20,,"Alex Mowatt28, M(CLR)",170,71,13(17),1296,-,2,1,-,0.5,88.6,0.7,-,6.37
21,,"Liam Roberts28, GK",183,82,4,360,-,-,1,-,-,53.2,0.5,-,6.36
22,,"Marc Bola25, D(CL),M(L)",185,78,9(16),1010,-,-,3,-,0.4,80.1,0.8,-,6.35
23,,"Anfernee Dijksteel26, D(CR),M(R)",183,72,10(11),970,-,1,2,1,-,80.8,0.7,-,6.33
24,,"Matthew Hoppe22, FW",191,80,0(6),65,-,-,-,-,0.7,72,-,-,6.13
25,,"Pharrell Willis20, Forward",0,0,0(1),7,-,-,-,-,-,75,-,-,6.13
26,,"Caolan Boyd-Munce23, Midfielder",0,0,0(1),1,-,-,-,-,-,66.7,-,-,6
27,,"Darnell Fisher29, D(LR),M(R)",175,80,0(1),1,-,-,-,-,-,100,-,-,6
28,,"Sonny Finch17, Forward",0,0,0(3),5,-,-,-,-,-,-,-,-,6
29,,"Josh Coburn20, FW",0,0,0(1),27,-,-,-,-,2,100,-,-,5.91
